"nyt_2010_2017_pick.display_title","summary_short"
"It Felt Like Love","It Felt Like Love considers the dangers of teenage desire through the experiences of a coltish 14yearold girl who randomly fixes on a weedsmoking tough guy"
"It Follows","David Robert Mitchell8217s second feature film is set in a Detroit suburb where a deadly menace is passed from one person to another through sex"
"J. Edgar","J Edgar is less the story of the public face of the FBI than it is a look at the private man"
"Jackie","Natalie Portman is perfect in Pablo Larrans multifaceted portrait of the former first lady Jacqueline Kennedy as an embodiment of grief and as an architect of brilliant political theater"
"Jajouka, Something Good Comes to You","Jajouka Something Good Comes to You playing at the Museum of Modern Art tells the story of a band from a Moroccan village"
"James White","The title character played by Christopher Abbott grapples with his future while caring for his ailing mother in this Josh Mond film"
"Jane Eyre","Cary Joji Fukunagas Jane Eyre starring Mia Wasikowska is a splendid example of how to tackle the daunting duty of turning a beloved work of classic literature into a movie"
"Jean-Michel Basquiat: The Radiant Child","Tamra Daviss documentary a romantic depiction of JeanMichel Basquiat blazingly brings to life the artists work and its cultural context"
"Jia Zhangke, a Guy From Fenyang","The documentary is a decent and conscientious companion piece to Mr Zhangkes films"
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","In his documentary about Jim Carrey Andy Kaufman and the making of Man on the Moon the director Chris Smith finds multiple realities and laughs"
"Joan Didion: The Center Will Not Hold","This documentary is directed by Griffin Dunne Ms Didions nephew a relationship that limits the movie in certain ways but opens it up in others"
"Joan Rivers: A Piece Of Work","This convulsively funny movie takes an upclose and sometimes queasypersonal approach to its motormouth subject"
"John Wick","In 8220John Wick8221 a thriller starring Keanu Reeves the protagonist resumes his career as an assassin after villains break into his home and kill his dog"
"Joshy","Written and directed by Jeff Baena this comedy features Thomas Middleditch and Adam Pally among others enjoying a weekend of middleclass debauchery"
"Judy Moody and the Not Bummer Summer","Judy Moody and the Not Bummer Summer is John Schultzs exuberant film featuring Megan McDonalds popular childrens book character"
"Karl Marx City","In this documentary a filmmaker returns to her hometown in the former East Germany seeking personal and political insight"
"Kedi","This documentary profiles distinctive street cats in Istanbul and the human communities that interact with them"
"Kevin Hart: What Now?","The comedian documents his popular 2015 tour in ways surprising and satisfying twothirds of the time"
"Khodorkovsky","The Russian Mikhail Khodorkovsky became an oligarch but his fortunes fell when he was incarcerated His story is the focus of a documentary by Cyril Tuschi"
"Kicks","This debut feature depicts a 15yearold in a tough neighborhood who buys the shoes of his dreams  and the desperation he feels when they are taken from him"
"Kill Me Please","Murdered women arouse adolescent hormones in this gorgeous Brazilian thriller"
"King Jack","Felix Johnsons comingofage story portrays a teenage boy in a small town in which a bully exercises his capacity for cruelty"
"Knock Knock","The actor plays a father who succumbs to a pair of women on a stormy night only to awaken afterward to find himself tormented by them"
"Krisha","A house in Texas becomes the site of a womans undoing in Trey Edward Shultss film"
"Kubo and the Two Strings","This movie from Laika Films Coraline and ParaNorman combines stopmotion animation and computergenerated backgrounds with a moving and magical tale"
"La Camioneta: The Journey of One American School Bus","The documentary La Camioneta follows the journey of a decommissioned American school bus as it travels from Virginia to Guatemala"
"La jalousie","In Philippe Garrels Jealousy emotional ambivalence and wayward passion span years among a group of struggling artists"
"La La Land","Ms Stone and Mr Gosling sing and dance their way to art and love in Damien Chazelles new movie"
"La pirogue","The Pirogue is the story of 30 men and one woman who set off in a long brightly painted wooden canoe on a voyage from Africa to Spain"
"Lady Bird","Saoirse Ronan plays a high school senior who insists on asserting her individuality and it makes for a thrilling film"
"Laurence Anyways","In Laurence Anyways a couple endure  off and on  after one confides to the other that he wants to become a woman"
"Le Prénom","Whats in a Name directed by Matthieu Delaporte and Alexandre de la Patellire centers on a fractious dinner party"
"Learning to Drive","This grownup drama stars Patricia Clarkson as a New York book critic and Ben Kingsley as her IndianAmerican driving instructor"
"Leaves of Grass","Edward Norton plays two roles in a straighttwinstonedtwin comedy"
"Lee Daniels' The Butler","Forest Whitaker plays the title character in Lee Daniels The Butler which covers eight presidential administrations and beyond"
"Len and Company","Rhys Ifans stars as a disaffected former rock star who retreats to the countryside after a meltdown only to host some surprise guests with concerns of their own"
"Leonard Cohen: Bird on a Wire","Tony Palmers documentary follows this singersongwriter in an early phase of his career during a somewhat disordered 1972 European tour"
"Let It Fall: L.A. 1982-1992","Politicians the police victims and survivors deliver an oral history of the rising racial tensions that led to the early1990s Los Angeles riots"
"Let It Rain","The lowlevel politicians and media types who inhabit Agns Jaouis Let It Rain feel victimized in one way or another"
"Let Me In","In the vampire romance Let Me In Matt Reeves tells a tale not about sex but rather about the fragility and loneliness of children"
"Let the Fire Burn","Let the Fire Burn compiles found video to offer a riveting chronicle of the radical group Move and the Philadelphia polices catastrophic siege of its headquarters in 1985"
"Letters from the Big Man","Sasquatch makes a connection with a woman of the woods in Christopher Munchs lovely delightfully idiosyncratic Letters From the Big Man"
"Lincoln","Lincoln starring Daniel DayLewis is more a political thriller than a biopic a civics lesson that is energetically staged and alive with moral energy placing slavery at the center of the story"
"Lion Ark","The documentary Lion Ark follows a team of rescuers as they track down lions exploited in Bolivian shows"
"Little Men","In an adventure story edged with unspoken risks the young actors take the kind of chances that their more careful elders have been trained to avoid"
"Little White Lie","In the documentary Little White Lie a girl who grew up viewing herself as Jewish and white gradually begins to realize that her biological father was black"
"Logan Lucky","This classconscious caper with Channing Tatum and Adam Driver as downontheirluck brothers is ridiculously entertaining"
"Long Strange Trip","Amir BarLevs fourhour documentary chronicles the bands deeply musical journey while placing it at the joyous center of the counterculture"
"Lord Byron","Paul Batiste stars in this Lord Byron which was made for less than 1000"
"Lost River","Bleak Michigan scenery is the backdrop for a form of horror film that ponders people and places left behind in the name of progress"
"Love & Air Sex","Love  Air Sex which follows two couples whose relationships have recently dissolved is set in a city teeming with singles and air sex competitions"
"Love & Friendship","This adaptation starring Kate Beckinsale is enlivened by Mr Stillmans keen eye for character and Austens sense of fun"
"Love & Mercy","In Bill Pohlad8217s Beach Boys biopic Paul Dano plays Mr Wilson in the 1960s making 8220Pet Sounds8221 and John Cusack plays him in the 1980s making peace"
"Love Hunter","The Serbian film Love Hunter centers on an ambitious Serbian musician trying to succeed in New York while making ends meet as a cabdriver"
"Lovers of Hate","The bond between two brothers becomes irretrievably twisted in Lovers of Hate"
"Loves Her Gun","After a violent mugging a young New York woman moves to Austin Tex in search of peace and security in Loves Her Gun"
"Lovesong","The movie directed by So Yong Kim explores the mystery of unspoken love"
"Loving","Jeff Nicholss Loving is a fictionalization of the story of Mildred and Richard Loving an interracial couple whose civil rights case went to the Supreme Court"
"Lucky","In one of his last roles Harry Dean Stanton shines as a cantankerous old man"
"Mad Max: Fury Road","This George Miller film with Tom Hardy as the hero has the spirit of a sequel to the original Speed and efficiency are of the essence leavened with nasty biker wit and distaste for authority"
"Mademoiselle Chambon","In Stphane Brizs Mademoiselle Chambon a romantic triangle is barely acknowledged"
"Maggie's Plan","This film the fifth from Rebecca Miller stars Ms Gerwig as a millennial who on the way to finding a sperm donor falls for a parttime professor"
"Magic Mike","Channing Tatum stars in Magic Mike Steven Soderberghs funny enjoyable romp about male strippers and the American dream"
"Magic Mike XXL","Channing Tatum returns in this comedy which transports the audience to a world of sexual intrigue that feels as safe and wholesome as a child8217s birthday party"
"Make Believe","Make Believe follows teenagers competing at an international magic contest in Las Vegas"
"Making the Boys","Making the Boys is a captivating documentary about the creation of and reaction to the breakthrough play The Boys in the Band"
"Mandela: Long Walk to Freedom","Mandela Long Walk to Freedom is a stately film biography of Nelson Mandela starring Idris Elba"
"Manifesto","Julian Rosefeldts art installation is now a film with this chameleonic actress morphing into multiple characters"
"Marguerite","Xavier Giannolis comedy inspired by the life of the talentless American socialite Florence Foster Jenkins stars Catherine Frot as an aspiring singer"
"Marwencol","Jeff Malmbergs Marwencol shows how an artist recovering from an assault uses a fantasy world to heal himself"
"Maya the Bee Movie","Maya hears nothing but donts from grownups Bees dont dream and Bees dont sing and Bees dont have fun"
"Mediterranea","Risking everything to seek a better life in Europe two close friends leave West Africa to settle in Italy in Jonas Carpignanos first feature film"
"Megamind","Evil becomes good and vice versa in Megamind a new 3D fantasy from DreamWorks Animation"
"Megan Leavey","Based on a true story this film starring Kate Mara is both harrowing and heartstringtugging"
"Men Go to Battle","This film which takes place during the early years of the Civil War pushes back against the rigid formality of the period genre"
"Menashe","In this sweet often understated film set in a Hasidic neighborhood the title character is a widower who must remarry to regain custody of his son"
"Meru","This film about mountain climbers pokes at the psychology of extremity zeroing in on pushthelimits personalities for whom calculating risk is a way of life"
"Mia Madre","Nanni Morettis film starring Margherita Buy as a movie director and John Turturro as an American star makes a case for blurriness in art and life"
"Michael","Michael puts the viewer in the shoes of the perpetrator and to a lesser degree his captive much of whose relationship resembles a fatherson bond"
"Midnight in Paris","Woody Allen with the help of Paris and the ghosts of its famous dead has found a credible blend of whimsy and wisdom"
"Miles Ahead","Don Cheadle stars in  and directed  this biopic about the jazz trumpeter who was a sly chameleon both in his life and in his music"
"Miss Hokusai","This extraordinary film is a lively inquiry into the life of the daughter of the 19thcentury Japanese painter Katsushika Hokusai"
"Miss Peregrine’s Home for Peculiar Children","Tim Burtons adaptation of the novel by Ransom Riggs describes the adventures of an adolescent who travels through time to prove his grandfather right"
"Mission to Lars","This documentary focuses on a man with fragile X syndrome whose lifelong wish has been to meet Lars Ulrich the drummer for Metallica"
"Mistaken for Strangers","A scruffy documentary of the band the Nationals 201011 European tour is less about the music than about leftfield interviews with bemused band members"
"Mister Universo","The Italian directors Tizza Covi and Rainer Frimmels hybrid of a film follows a young man on a sort of odyssey across Italy"
"Mistress America","This smart fastpaced film advertised as a screwball comedy subverts this most buoyant of genres with a steady undertow of anxiety dread and anger"
"Moneyball","Brad Pitt plays Billy Beane the baseball executive who challenged traditions of the game in Moneyball"
"Monster Trucks","A smalltown teenager and a creature released by a geyser are unlikely friends in this liveaction ecofable from the Ice Age director Chris Wedge"
"Moonlight","Our critic AO Scott says this film about a young black mans coming of age is both a disarmingly personal film and an urgent social document"
"Moonrise Kingdom","Wes Andersons new film Moonrise Kingdom is a selfconsciously onceuponatime tale of two romantic 12yearolds who create their own paradise by running away"
"Morris From America","An American teenager seeks his place in the world in Heidelberg Germany"
"Most Beautiful Island","This suspense film about a woman entering a rabbit hole of urban peril is an effective writingdirecting debut for Ana Asensio who also stars"
"Mr. Right","This hybrid action thriller and romantic comedy follows Martha who meets a blithe charmer and discovers that hes a hit man"
"Mud","In Jeff Nicholss third feature two Arkansas boys discover a boat on an overgrown island in the Mississippi River and also discover the leathery loner who inhabits it"
"Mudbound","Dee Reess new film illuminates the daily cruelties in postWorld War II Mississippi"
"Mundo Alas","Len Gieco the wellknown Argentine folk singer is determined to put the spotlight on others in the documentary Mundo Alas World Wings"
"Musicwood","Musicwood a documentary by Maxine Trump examines the thicket of issues that pit Native Americans in Alaska against the makers of acoustic guitars"
"My Golden Days","Arnaud Desplechins film tells of a middleaged anthropologist and the women who left their imprint on different stages of his life"
"My Joy","My Joy directed by Sergei Loznitsa creates an air of dread that instantly settles around a young truck driver"
"My King","Told in flashback this film follows the collision and decadelong duel between a guarded lawyer and an impulsively charismatic restaurateur"
"My Piece of the Pie","In My Piece of the Pie Cdric Klapisch portrays the relationship between a business wheelerdealer and his housekeeper"
"My Voice, My Life","This documentary from Ruby Yang about students who are not the expected high achievers captures the feeling of spreading one8217s wings onstage for the first time"
"Nana","Nana a French film by Valrie Massadian sees the world through the eyes of a 4yearold girl on a farm"
"Nebraska","Nebraska Alexander Paynes fourth film set at least partly in his home state stars Bruce Dern Will Forte and June Squibb in a comedy that gets under a cantankerous older mans skin"
"Neil Young Journeys","In Jonathan Demmes new documentary Neil Young Journeys the roar is more earthshaking than earsplitting"
"Neil Young Trunk Show: Scenes From a Concert","Beautifully lighted and meticulously recorded Neil Young Trunk Show looks and sounds like several million bucks"
"Nenette","The voices of visitors to a Paris zoo serve as a soundtrack to Nicolas Philiberts new film"
"Niki and Flo","In Niki and Flo two aging neighbors linked by the marriage of their children represent a bridge  and also a battle  between the old Romania and the new"
"Nise: The Heart of Madness","A drama from Brazil about a psychiatrist who defied medical orthodoxy and treated patients with paint brushes instead of spikes and electroshock therapy"
"No No: A Dockumentary","No No A Dockumentary looks at the career of Dock Ellis a pitcher with the Pittsburgh Pirates"
"Nobody's Watching","An Argentine actor played by Guillermo Pfening pins his hopes on a movie career in America"
"Norman","Norman The Moderate Rise and Tragic Fall of a New York Fixer Joseph Cedars latest film pits Jew against Jew on the fringes of power and influence"
"Northern Light","The documentary Northern Light is a sneakily compelling endlessly patient observation of three workingclass families in the Upper Peninsula of Michigan"
"Nostalgia For The Light","Nostalgia for the Light is the director Patricio Guzmns cinematic essay on the search for both our cosmic origins and disappeared political prisoners"
"Nothing Personal","Lotte Verbeek and Stephen Rea star in Urszula Antoniaks maddeningly enigmatic and sensuous Nothing Personal"
"Nowhere to Hide","A documentary observes the rising tide of danger and displacement for families living in central Iraq amid the arrival of the Islamic State"
"O.J.: Made in America","This ESPN documentary extends the narrative beyond the OJ Simpson murder trial as a biography and a history of race fame sports and Los Angeles"
"Of Gods and Men","Of Gods and Men is based on the true story of a group of French Cistercian Trappist monks caught up and ultimately killed in the violence that engulfed Algeria in the 1990s"
"Of Men and War","This documentary filmed almost entirely in a California therapy center follows a dozen war veterans racked with emotional suffering"
"Oki's Movie","Okis Movie in four parts explores film school and romance from the points of view of three characters"
"Okja","Bong Joonhos latest film on Netflix is a highspeed satire with a conscience and a heart And Tilda Swinton in braces"
"Older Than Ireland","Thirty wry oldtimers are impressive raconteurs in this documentary directed by Alex Fegan released during the centenary of the Easter Rising"
"One Cut, One Life","In his final years the documentary pioneer Ed Pincus joined with the filmmaker Lucia Small to record his medical struggles and their own collaboration"
"One Hundred Mornings","Conor Horgans One Hundred Mornings uses an apocalyptic event as a springboard into the human psyche"
"Only the Brave","This action drama from Joseph Kosinski  about the Granite Mountain Hotshots of Prescott Ariz  offers some real feeling under a schematic surface"
"Operation Avalanche","Matt Johnson and Owen Williams star in this period comedythriller about film nerds on a spy mission sneaking onto a set of 2001 A Space Odyssey"
"Optimisti","The Optimists consists of five vignettes each of whose cynical stories of humble people embracing absurd illusions illustrate the universal impulse to believe in a better future no matter what"
"Orgasm, Inc.","Orgasm Inc walks a careful line between lighthearted expos and gimleteyed journalism"
"Orion: The Man Who Would Be King","Jeanie Finlays documentary tracks the Presley soundalike singer Jimmy Ellis whose career took off after Presleys death"
"Ouija: Origin of Evil","In this prequel to Ouija Lulu Wilson delivers chills as a girl with a psychic link to a malevolent board game"
"Our Last Tango","German Krals documentary is a portrait of the dancers Mara Nieves and Juan Carlos Copes leading tango performers for almost 50 years"
"Papirosen","Papirosen a documentary by the filmmaker Gastn Solnicki follows generations of his PolishArgentine family"
"Paradise: Hope","Paradise Hope the third installment in Ulrich Seidls grim film trilogy centers on an adolescent girl who is sent to a summer weightloss camp"
"ParaNorman","Norman the focus of this beautifullooking 3D stopmotion animation is an 11yearold who cannot only see dead people but is happy to hang out with them"
"Paterson","This story of a soulful bus driver and basement poet is deceptively simple and nearly perfect with a likely nod to William Carlos Williams"
"Paul Taylor: Creative Domain","Kate Geis8217s absorbing new documentary follows a Taylor dance 8220Three Dubious Memories8221 as it takes shape in a matter of weeks"
"Pawn Sacrifice","Edward Zwick directs this film interpretation of the superpowers chess battle waged by Bobby Fischer and Boris Spassky in 1972"
"Pelican Dreams","8220Pelican Dreams8221 is a study of California8217s brown pelicans by Judy Irving the director of 8220The Wild Parrots of Telegraph Hill8221"
"Personal Shopper","Olivier Assayass new film is both a supernatural thriller and an unnerving inquiry into the drift and mystery of modern life"
"Phantom Halo","Rebecca Romijn and Luke Kleintank are also in the cast of this drama which focuses on the sons of a dissolute father"
"Phantom Thread","Paul Thomas Andersons latest film is a luxuriant love story set in 1950s London"
"Philomena","Stephen Frearss Philomena follows a Irishwoman forced to give up her son for adoption in the 1950s and the freelance reporter who helps her search for him"
"Plot for Peace","The documentary 8220Plot for Peace8221 centers on a French commodities trader who helped broker a peaceful end to apartheid in South Africa"
"Poetry","The South Korean director Lee Changdongs devastating humanistic film Poetry is about the importance of looking closely at the world"
"Ponies","Ponies involves the interactions of three immigrants from different continents who converge at a ratty New York City betting parlor"
"Praia do Futuro","This elliptical gay romance by the Brazilian writer and director Karim A239nouz follows its heroes from the warmly golden beach of the title to the cool dampness of Berlin"
"Premium Rush","Premium Rush stars Joseph GordonLevitt as a bicycle messenger racing around New York City"
"Prevenge","Alice Lowe wrote directed and stars in this British film about a pregnant serial killer on a darkly comedic odyssey dictated by her malicious fetus"
"Prince of Broadway","Like its subject the movie is sharp charismatic and so light on its feet we never know which way it will turn"
"Professor Marston and the Wonder Women","In Professor Marston and the Wonder Women the writerdirector Angela Robinson tells a knotty story with wit sympathy and economy"
"Project X","Thomas Mann plays a highschool nobody who goes down in history after an extreme party in Project X directed by Nima Nourizadeh"
"Putty Hill","Matt Porterfields Putty Hill is a moody fusion of fiction and documentary set in a workingclass neighborhood in Baltimore"
"Queen of Katwe","In this stirring underdog story directed by Mira Nair Madina Nalwanga plays a young Ugandan with a gift for chess supported by Lupita Nyongo as her mother"
"Queen of the Sun: What Are the Bees Telling Us?","Queen of the Sun Taggart Siegels revelatory documentary on honeybees beekeepers and colony collapse disorder"
"Queen to Play","In Caroline Bottaros slight but captivating Queen to Play Sandrine Bonnaire plays a chambermaid empowered by her mastery of chess"
"Quest","This documentary from Jonathan Olshefski follows a North Philadelphia family through the Obama years"
"R","The Danish drama R set in a maximumsecurity prison isnt the goriest example of its genre but it is challenging nevertheless"
"Racing Extinction","From the makers of The Cove this documentary centers on the slaughter of creatures for profit without regard for the environmental consequences"
"Radio Dreams","A fictional San Francisco radio station provides a place for immigrants adrift to bond in the ether"
"Raees","The king of Bollywood rarely plays the bad guy but in this film hes a criminal whos also fighting corruption in 1980s and 90s India"
"Rango","Rango directed by Gore Verbinski and featuring the voice of Johnny Depp delights in paying homage to a wide range of westerns"
"Raw","Julia Ducournaus film unfolds during rush week in a nightmarish veterinary school"
"Red Hill","Red Hill is a galloping revenge tale that uses young blood to unearth old sins"
"Red White & Blue","In Red White  Blue Amanda Fuller plays an aimless young woman whose poor choice in onenight stands catches up with her"
"Redlegs","In Redlegs by Brandon Harris three friends are galvanized by the death of a buddy"
"Rejoice and Shout","Rejoice and Shout a historical survey of AfricanAmerican gospel music illustrates how it evolved out of the fusion of plantation work songs and Christian hymns"
"Reset","The job didnt work out in the end but this riveting film documents a choreographers cheerfully tenacious effort as well as his work on one ballet"
"Restless Creature: Wendy Whelan","A documentary captures this ballerina at a critical moment in 2013 when she was both trying for a comeback and coming to terms with aging"
"Restrepo","The documentary Restrepo which follows a company of American soldiers in Afghanistan has the spare lyrical force of an elegy"
"Return","Liza Johnsons sober feature film debut about a soldier returning from overseas duty is a study of depression in a depressed environment"
"Rid of Me","James Westbys ingenious black comedy Rid of Me follows a womans desperate attempt to fit in with her husbands notsowelcoming former highschool clique"
"Rio","An animated comedy about a blue macaws adventures in Rio with the voice of Jesse Eisenberg as Blu the macaw"
"Rosenwald","Aviva Kempner8217s documentary offers a stirring portrait of a Sears executive whose Rosenwald Fund dispensed fellowships to black artists and academics including W E B Du Bois and James Baldwin"
"Rules Don’t Apply","This film takes comic aim at Hollywood absurdity and at Hughes the eccentric mogul"
"Rush","Ron Howards Rush tells the story of James Hunt and Niki Lauda Formula One titans and rivals who in 1976 helped push racing into mainstream consciousness"
"Sand Dollars","Geraldine Chaplin falls for a much younger woman while on a Caribbean vacation"
"Sausage Party","In this freespirited romp through the supermarket pottymouthed foodstuffs give voice to matters both humorous and spiritual"
"Savages","Savages Oliver Stones feverish adaptation of Don Winslows drugwar novel is a pulpy daylight noir a western a stoner buddy movie and a love story"
"Saving Banksy","This documentary honors the streetbased work of the British artist known as Banksy and implicitly criticizes those who would try to turn profits from it"
"Scheherazade, Tell Me a Story","Yousry Nasrallahs Scheherazade Tell Me a Story resets The Arabian Nights in modernday Cairo"
"Scott Pilgrim vs. the World","The speedy funny happysad spirit of Scott Pilgrim vs the World is infectious"
"Secret Sunshine","Lee Changdong is attentive to the routines and rhythms of everyday life in Secret Sunshine But there is nothing ordinary about this movie or about the story it tells"
"See what I'm saying","This documentary about deaf entertainers focuses on four performers with varying degrees of hearing impairment"
"Selma","Ava DuVernay8217s film 8220Selma8221 follows civil rights demonstrators in March 1965 across an Alabama bridge and into a new era for black Americans with progress made and promises unkept"
"Seoul Searching","Set in 1986 the film introduces globally scattered youngsters to their heritage in a plot that both critiques and embraces stereotypes"
"Shadowman","Richard Hambleton a peer of JeanMichel Basquiat and Keith Haring who went underground was painting right up until his death this fall"
"Shaun the Sheep Movie","In this stopmotion animation film from the studio that made 8220Wallace  Gromit8221 the sheep run into trouble in their urban adventure"
"Side Effects","Steven Soderberghs Side Effects follows twists and turns involving a fictitious antidepressant which has its own real Web site"
"Silver Linings Playbook","Silver Linings Playbook directed by David O Russell finds a man played by Bradley Cooper returning home after a stint in a mental institution"
"Skyfall","Daniel Craig returns as James Bond in Skyfall a playful 007 movie with exotic locales an island fortress and a fight on a moving train"
"Solitary Man","In Solitary Man Michael Douglas plays a liar cynic compulsive womanizer and allaround jerk"
"Something, Anything","In 8220Something Anything8221 a young newlywed disrupts her closest relationships as she tries to put her life back together after a traumatic loss"
"Somewhere","Sofia Coppolas new film presents a star who has everything including emptiness"
"Song to Song","This drama about intersecting love lives features themes like betrayal identity and art Religion appears too in the film set in Austin Tex"
"Soufra","This documentary from Thomas Morgan about a female entrepreneur establishing a business just south of Beirut is a stirring tale of empowerment"
"Splice","Adrien Brody and Sarah Polley star in a horror film that manages to touch on bioethics abortion and Freudian family dynamics"
"Spotlight","In this gripping detective story a small group of reporters exposes the churchs role in covering up the sexual abuse of children by priests"
"Spring Breakers","Spring Breakers delves into a deeply American topic the pursuit of happiness taken to nihilistic extremes"
"St. Nick","St Nick has a brother and sister on the run Pioneer is a short that grows out of a bedtime story"
"Star Wars: The Last Jedi","With charm and wit the latest Star Wars movie unites the past and present as it looks toward the future"
"Starving the Beast","This documentary by Steve Mims describes an ideological war over public higher education that is being conducted state by state"
"Steve Jobs","The movie burnishes the image of Apples cofounder even as it tries to peek behind the curtain at the gimcrack machinery of omnipotence"
"Stones in the Sun","Haitian exiles in New York City are forced to confront the pain of their shared history in 8220Stones in the Sun8221"
"Stonewall Uprising","Stonewall Uprising examines a police raid on the Stonewall Inn in Greenwich Village that touched off three days of unrest"
"Stranger Things","In Stranger Things a young woman arrives in an English seaside village to clear out her dead mothers house and finds an unexpected resident"
"Strongman","Strongman Zachary Levys lumpinthethroat portrait of an aging muscleman is an outsider tale of unforced rawness and lilting poignancy"
"Sully","Sully Clint Eastwoods film about US Airways Flight 1549 largely involves what happens after he his crew and his passengers are plucked from the Hudson"
"Summer Pasture","Lynn True Nelson Walker and Tsering Perlo followed a young family living as Tibetans have for 4000 years but aware of the pressures of modern life"
"Sunday Ball","Eryk Rochas documentary turns churning legs and arms into a sensory experience thats bigger on poetry than on clarity"
"Sunset Song","In Terence Daviess film scenes of Scottish rural life are stitched together in a slowmoving story rife with both natural beauty and tragedy"
"Supersonic","This documentary looks at the rock groups founding members Liam and Noel Gallagher through older footage and animated recreations"
"Swiss Army Man","Starring Daniel Radcliffe and Paul Dano this impossibletocategorize film about a castaway and a corpse is an original mix of the macabre and the magical"
"Symphony of the Soil","The documentary Symphony of the Soil celebrates the nurturing powers of the ground beneath our feet"
"T-Rex","Claressa Shields the first female boxer to win an Olympic gold medal is the indomitable center of Drea Cooper and Zackary Caneparis impressive documentary"
"T2 Trainspotting","The sequel to the gloriously scabrous film that kickstarted the careers of Danny Boyle and Ewan McGregor illustrates the consequences of a misspent youth"
"Tallulah","Almost a decade after Juno Ellen Page and Allison Janney are paired again in this film written and directed by Sian Heder"
"Tangerine","Sean Baker8217s fast funny comedy shot on iPhones doesn8217t dive deep into transgender identity but shows that femininity is a mask that can be slipped on and off"
"Tangled","With Tangled a version of the Rapunzel story Disney gives its classic animation an update of sorts"
"Tatsumi","Eric Khoos documentary looks at how Yoshihiro Tatsumi made Japanese comics darker and more sophisticated"
"Tears of Gaza","Wrenching footage of missile attacks and their civilian victims in Vibeke Lokkebergs film transcends the politics of the conflict that underlies the bloodshed"
"Terms and Conditions May Apply","Terms and Conditions May Apply examines the repercussions of clicking on the Agree button on those dense and typically unread online user contracts"
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared","This often droll Swedish movie is a new entry in the genre that might be called Old People Behaving Hilariously"
"The Adjustment Bureau","Matt Damon and Emily Blunt in a metaphysical mess in George Nolfis Adjustment Bureau"
"The Army of Crime","The poet Missak Manouchian and other outsiders battle the German occupiers and their French collaborators"
"The Artist","The Artist is a touching and mostly silent movie with a musical soundtrack about an aging film idol a peppy young actress and the passing of the silentmovie era"
"The Autobiography of Nicolae Ceausescu","Andrei Ujicas documentary The Autobiography of Nicolae Ceausescu is a cinematic tour de force that tracks the rise reign and grim fall of that executed Romanian dictator"
"The Best Exotic Marigold Hotel","Retirementage Britons travel to India where adventures await in the ensemble comedy The Best Exotic Marigold Hotel"
"The Big Picture","The Big Picture is a French thriller about a husband who fakes his death after accidentally killing his wifes lover then assumes the lovers identity"
"The Big Short","Adam McKays adaptation of Michael Lewiss account of fund managers who bet against the real estate bubble finds laughs within the crisis"
"The Big Sick","Kumail Nanjiani stars opposite Zoe Kazan in this very funny moving true story about how he found and almost lost love Holly Hunter and Ray Romano also star"
"The Boy and the World","Al Abreus film unleashes the exuberance of a child on the harsh realities of Brazil today with dark wit and satire"
"The Breadwinner","The children in this animated film based on a novel by Deborah Ellis navigate life under the Taliban"
"The Call","In The Call a 911 operator takes a lifealtering call from a teenage girl who has just been abducted"
"The City Dark","The City Dark a documentary about light pollution explores what our increasing inability to see the night sky means for us philosophically as well as scientifically"
"The Company Men","Ben Affleck and Chris Cooper play characters who learn that in a company concerned about the bottom line almost everyone is expendable"
"The Confirmation","This Bob Nelson character study stars Clive Owen as a troubled handyman who has more than stolen tools on his mind"
"The Conjuring","In James Wans horror tale The Conjuring Lili Taylor and Ron Livingston are terrorized by the bumps and creaks around them"
"The Conjuring 2","James Wans sequel to his horror hit concerns a London poltergeist in 1977 Vera Farmiga and Patrick Wilson return as paranormal investigators"
"The Counselor","Ridley Scott and Cormac McCarthy team up for The Counselor a tale of a corrupt highflying lawyer dealing with a drug cartel"
"The Dark Horse","The Dark Horse a film inspired by a documentary is about Gen Potini a Maori speedchess player who used his skill to help young players"
"The Dark Knight Rises","Christopher Nolans Dark Knight Rises wraps up his postSept 11 epic of ambivalent good vs multidimensional evil with a burst of light"
"The Descendants","In The Descendants George Clooney plays the scion of an old Hawaii family with many troubles on his hands"
"The Diary of a Teenage Girl","Bel Powley stars as a 15yearold who candidly chronicles the passion anxieties and adventures of adolescence"
"The Discoverers","In The Discoverers a history professor takes his children on a familyfraught trip with historical reenactors"
"The Dish & The Spoon","Alison Bagnalls film The Dish  the Spoon follows the relationship between a woman upset by her husbands infidelity and a British teenager"
"The Edge of Seventeen","In its raw honesty The Edge of Seventeen like Clueless is among the best films about high school kids in years"
"The Farthest","Emer Reynoldss dazzling film traces the history of Voyager 1 and Voyager 2 Like the NASA team that produced these spacecraft it inspires awe"
"The Fighter","Mark Wahlberg and Christian Bale are brothers in the new David O Russell film The Fighter"
"The Final Girls","This movie proves that with the right actors you can make an amusing movie even if a lot of the ideas are borrowed"
"The Final Member","In the documentary The Final Member two men vie to have their penises entered into the Icelandic Phallological Museum as its first human specimen"
"The Fits","This debut feature from Anna Rose Holmer centers on an 11yearold tomboy who trains as a boxer only to discover an interest in joining an allfemale dance team"
"The Fool","In this film Mr Bykovs main character is frustrated after noticing a structural flaw that could lead to a buildings collapse"
