display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,nomination
Uncertain Terms,NA,0,NICOLAS RAPOLD,Review: ‘Uncertain Terms’ Enters a Home for Pregnant Young Women,"In this film by Nathan Silver, an unhappily married handyman is dropped into an emotional maelstrom.",2015-05-29,2015-05-29,2017-11-02 4:18,NA,Comedy,Nathan Silver,"Chloe Domont, Nathan Silver, Cody Stokes",David Dahlbom,0
Uncle Kent 2,NA,0,GLENN KENNY,"Review: ‘Uncle Kent 2,’ How’s Your Tolerance for Hipster Milquetoasts?",Kent Osborne returns as the starring character in this sequel to the 2011 film “Uncle Kent.”,2016-11-10,2016-08-26,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Under the Electric Sky,PG-13,0,NICOLAS RAPOLD,"Its Devotees Are Diverse, and You Can Dance to It","Short on the business aspects and insights, “Under the Electric Sky” is heavy on the sound and spectacle.",2014-07-24,2014-05-29,2017-11-02 4:18,NA,Documentary,"Dan Cutforth(co-director), Jane Lipsitz(co-director)",NA,Avicii,0
Under the Shadow,PG-13,0,MANOHLA DARGIS,Review: An Undetonated Missile and Evil Spirits Lurk in ‘Under the Shadow’,"In this horror film, a woman with a husband away on the front is left with her daughter, an unexploded missile and possibly a supernatural visitor.",2016-10-06,2016-10-07,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Underwater Dreams,NA,0,DAVID DeWITT,"For One Team, It’s Sink or Swim",Students from a low-income high school in Arizona win a robotics competition and reflect on their victory in “Underwater Dreams.”,2014-07-10,2014-07-11,2017-11-02 4:18,NA,Documentary,Mary Mazzio,"Robert Fitzgerald, Carla Mazzio, Jay Mazzio, Mary Mazzio, Mary Mazzio",Michael Peña,0
Underworld: Awakening,R,0,ANDY WEBSTER,Long Nap Didn’t Improve Her Mood All That Much,Kate Beckinsale returns as the vampire Selene (now a mother) to fight werewolves in “Underworld: Awakening.”,2012-01-20,2012-01-20,2017-11-02 4:18,62321039,Action,"Måns Mårlind, Björn Stein","Len Wiseman (screenplay), John Hlavin (screenplay), J. Michael Straczynski (screenplay), Allison Burnett (screenplay), Len Wiseman (story), John Hlavin (story), Kevin Grevioux (characters), Len Wiseman (characters), Danny McBride (characters)",Kate Beckinsale,0
Underworld: Blood Wars,R,0,BEN KENIGSBERG,"Review: ‘Underworld: Blood Wars,’ Bathed in Blue and Partied Out",This action-horror franchise about warring vampires and werewolves returns for a fifth outing. But is it a sequel or a dissertation?,2017-01-06,2017-01-06,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Une Bouteille à la mer,Not Rated,0,JEANNETTE CATSOULIS,Personal Connection Amid Political Dissonance in the Middle East,A Palestinian and an Israeli forge a pen-pal connection in “A Bottle in the Gaza Sea.”,2013-01-03,2013-01-04,2017-11-02 4:18,NA,Documentary,"Alexandre Brecher, Sammy Hossenny",NA,NA,0
Unexpected,R,0,STEPHEN HOLDEN,"Review: ‘Unexpected,’ a Tale of 2 Pregnancies That Unite and Divide","Kris Swanberg&#8217;s film depicts a Chicago schoolteacher who discovers that she is pregnant just as one of her top students does, and peppers her prot&#233;g&#233;e with advice.",2015-07-23,2015-07-24,2017-11-02 4:18,NA,Comedy,Kris Swanberg,"Megan Mercier, Kris Swanberg",Cobie Smulders,0
Unfinished Business,R,0,ANDY WEBSTER,"Review: In ‘Unfinished Business,’ Vince Vaughn and Sienna Miller Are Rivals","The slick, innocuous comedy “Unfinished Business” fails to seal the deal.",2015-03-05,2015-03-06,2017-11-02 4:18,NA,Comedy,Ken Scott,Steve Conrad,Vince Vaughn,0
Unforgettable,R,0,NEIL GENZLINGER,Review: ‘Unforgettable’ Serves Up Yet Another Crazy Ex,Rosario Dawson and Katherine Heigl star in a thriller that works a wearyingly familiar formula.,2017-04-20,2017-04-21,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Unfreedom,NA,0,JEANNETTE CATSOULIS,"Review: ‘Unfreedom,’ a Raj Amit Kumar Tale of Sex, Religion and Tradition","Abduction, sexual orientation and violence are at the core of this drama.",2015-05-28,2015-05-29,2017-11-02 4:18,NA,Crime,Raj Amit Kumar,"Damon J. Taylor (screenplay), Raj Amit Kumar (screenplay), Raj Amit Kumar (story), Adam Davis (script contribution), Kamran Iqbal (script contribution)",Victor Banerjee,0
Unfriended,R,0,MANOHLA DARGIS,"Review: ‘Unfriended,’ in the Scariest Ways You Can Think Of","A horror movie with a touch of classic Val Lewton, but tailored to your electronic device, partly shot on GoPro and organized into computer windows.",2015-04-16,2015-04-17,2017-11-02 4:18,31354666,Horror,Levan Gabriadze,Nelson Greaves,Heather Sossaman,0
Ungli,NA,0,NICOLE HERRINGTON,Raising a Defiant Hand Against the Fist of the Law ,"In “Ungli,” four young professionals — led by Kangana Ranaut and Randeep Hooda — set out to avenge the aggrieved and the powerless amid widespread malfeasance in Mumbai.",2014-11-30,2014-12-05,2017-11-02 4:18,NA,Comedy,Renzil D'Silva,"Renzil D'Silva (story), Milap Zaveri (dialogue)",Emraan Hashmi,0
Union Square,Not Rated,0,A. O. SCOTT,"A Reunion of Two Sisters; One Is Refined, One Isn’t","Nancy Savoca’s “Union Square” is the tale of two sisters, played by Mira Sorvino and Tammy Blanchard, divided by temperament, geography and class.",2012-07-12,2012-07-13,2017-11-02 4:18,44830,Drama,Nancy Savoca,"Nancy Savoca (screenplay), Mary Tobler (screenplay)",Mira Sorvino,0
United Red Army,NA,0,MANOHLA DARGIS,"Circular Firing Squad, Run by Young Radicals",In “United Red Army” Koji Wakamatsu charts the rise and self-destruction of a Japanese extremist group.,2011-05-26,2011-05-27,2017-11-02 4:18,NA,Crime,Kôji Wakamatsu,"Kôji Wakamatsu, Masayuki Kakegawa (novel), Masayuki Kakegawa (screenplay)",Maki Sakai,0
Unknown,PG-13,0,MANOHLA DARGIS,"Me, My Doppelgänger and a Dunk in the River","In Jaume Collet-Serra’s “Unknown,” Liam Neeson plays a botanist who wakes up in the hospital without any identification and with a missing wife (January Jones).",2011-02-17,2011-02-18,2017-11-02 4:18,63677735,Action,Jaume Collet-Serra,"Oliver Butcher (screenplay), Stephen Cornwell (screenplay), Didier Van Cauwelaert (novel)",Liam Neeson,0
Unlocked,R,0,GLENN KENNY,"Review: ‘Unlocked,’ a New Spy Thriller, Same as the Old Spy Thrillers",Noomi Rapace plays an undercover C.I.A. agent in a film that serves up clichés with its suspense.,2017-08-31,2017-09-01,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Unlocking the Cage,NA,0,A. O. SCOTT,"Review: In ‘Unlocking the Cage,’ a Struggle to Raise the Legal Status of Chimpanzees",This documentary centers on a lawyer’s quest to show that intelligent species like chimps and whales merit some legal protections accorded to humans.,2016-05-24,2016-05-25,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Unlucky Plaza,NA,0,NICOLAS RAPOLD,"Review: In ‘Unlucky Plaza,’ a Comic Hostage Crisis via Tabloid Storytelling","Ken Kwek’s debut feature, set in Singapore, centers on a hapless diner owner, loan shark, motivational speaker and other motley characters.",2016-01-07,2016-01-08,2017-11-02 4:18,NA,Comedy,Ken Kwek,Ken Kwek,Jeffrey Quizon,0
Unrest,NA,0,DANIEL M. GOLD,"Review: ‘Unrest,’ a Personal Account of Chronic Fatigue Syndrome","In this film, Jennifer Brea describes her life that Chronic Fatigue Syndrome hijacked.",2017-09-21,2017-09-22,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Unstoppable,PG-13,0,MANOHLA DARGIS,I Think I Can: Trying to Stop a Crazy Train Hurtling to Disaster,"In “Unstoppable,” Denzel Washington and Chris Pine try to stop a runaway train carrying hazardous cargo.",2010-11-11,2010-11-12,2017-11-02 4:18,81557479,Action,Tony Scott,Mark Bomback,Denzel Washington,1
Unsullied,R,0,ANDY WEBSTER,"Review: In ‘Unsullied,’ a Competitive Racer Must Run for Her Life","Directed by the former N.F.L. defensive end Simeon Rice, this lurid low-budget thriller recalls 1970s exploitation revenge pictures.",2015-08-27,2015-08-28,2017-11-02 4:18,8220,Action,Simeon Rice,"John Nodilo, John Nodilo (screenplay), John Nodilo, Simeon Rice, Simeon Rice",Rusty Joiner,0
Urbanized,NA,0,A. O. SCOTT,"The Design of Cities, Intelligent or Otherwise","In “Urbanized,” the third film of his trilogy, the documentary maker Gary Hustwit considers the web of decisions that go into modern city planning.",2011-10-27,2011-10-26,2017-11-02 4:18,36208,Documentary,Gary Hustwit,NA,Norman Foster,0
Valentine's Day,PG-13,0,MANOHLA DARGIS,"A Whole Lotta Interconnected Love, and a Whole Lotta Movie Stars",The dire romantic comedy “Valentine’s Day” is neither romantic nor remotely comedic.,2010-02-11,2010-02-12,2017-11-02 4:18,110500000,Comedy,Garry Marshall,"Katherine Fugate (screenplay), Katherine Fugate (story), Abby Kohn (story), Marc Silverstein (story)",Jessica Alba,0
Valerian,PG-13,0,A.O. SCOTT,Review: ‘Valerian’ Is a Rave in Space (but Not Much Fun),"If you can summarize the plot of Luc Besson’s film adaptation of the graphic-novel science fiction series, you weren’t paying attention.",2017-07-20,2017-07-21,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Valley of Strength,NA,0,NICOLAS RAPOLD,Challenges of Marriage in 1880s Palestine,"“Gei Oni” (“Valley of Strength”), set in the late 19th century, tells the story of a young Jewish couple facing the arduous challenges of settlement in Palestine.",2012-07-12,2012-07-13,2017-11-02 4:18,NA,Drama,Dan Wolman,"Shulamit Lapid (novel), Dan Wolman (screenplay)",Tamar Alkan,0
Vampire Academy,PG-13,0,MANOHLA DARGIS,Bloody Trouble at School,"“Vampire Academy,” based on Richelle Mead’s young adult series, uses many familiar themes of the bloodsucking genre.",2014-02-09,2014-02-07,2017-11-02 4:18,7508090,Action,Mark Waters,"Richelle Mead (novel), Daniel Waters (screenplay)",Zoey Deutch,0
Vampires Suck,PG-13,0,JEANNETTE CATSOULIS,New Girl Enters Stale Dating Pool,"Jenn Proske and Matt Lanter star in “Vampires Suck,” Jason Friedberg and Aaron Seltzer’s lampoon of the “Twilight” series.",2010-08-18,2010-08-18,2017-11-02 4:18,36300000,Comedy,"Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer",Jenn Proske,0
Vamps,PG-13,0,RACHEL SALTZ,Vampire Girls Just Want to Have Dates,"In “Vamps” the vampire heroines, played by Alicia Silverstone and Krysten Ritter, have problems dating human men.",2012-11-01,2012-11-02,2017-11-02 4:18,2741,Comedy,Amy Heckerling,Amy Heckerling,Alicia Silverstone,0
Vanishing Pearls: The Oystermen of Pointe à la Hache,NA,0,BEN KENIGSBERG,"Oil and Water Mix, Then Emotions Flare","The documentary “Vanishing Pearls” looks at the small Gulf community of Pointe à la Hache, La., where the oyster industry has been devastated by the Deepwater Horizon oil spill.",2014-04-17,2014-04-01,2017-11-02 4:18,NA,Documentary,Nailah Jefferson,"Nailah Jefferson, Nailah Jefferson",Ed Cake,0
Vanishing Waves,Not Rated,0,JEANNETTE CATSOULIS,Lustful Pursuit of Sensory Overload,"“Vanishing Waves,” a psychedelic science-fiction tale, is a discomfiting blend of visual ecstasy and narrative sterility.",2013-03-14,2013-03-15,2017-11-02 4:18,NA,Romance,Kristina Buozyte,"Kristina Buozyte, Bruno Samper",Marius Jampolskis,0
Varian and Putzi: A 20th Century Tale,NA,0,MANOHLA DARGIS,Horrors of a Coming War Painted in a 1935 Meeting,Varian Fry and Ernst Hanfstaengl’s 1935 encounter and their actions during World War II spurred Richard Kaplan to tackle their lives and histories in the film “Varian and Putzi.”,2011-10-07,2011-10-07,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Viceroy's House,NA,0,BEN KENIGSBERG,"Review: In ‘Viceroy’s House,’ the Birthing Pains of Two Nations","This film is a handsome, fleet look at the months leading up to the end of British colonial rule in India.",2017-08-31,2017-09-01,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Victor Frankenstein,PG-13,0,MANOHLA DARGIS,Review: ‘Victor Frankenstein’ Recasts a Tale That Keeps On Giving,"This film, starring James McAvoy and Daniel Radcliffe, recasts a ghoulish story into something of a buddy movie.",2015-11-24,2015-11-25,2017-11-02 4:18,NA,Drama,Paul McGuigan,"Max Landis (screenplay), Max Landis (screen story), Mary Shelley (novel)",Daniel Radcliffe,0
Victoria and Abdul,PG-13,0,GLENN KENNY,"Review: ‘Victoria and Abdul,’ a Royal Friendship in a Nest of Vipers",“Victoria and Abdul” sees a queen in a life-changing relationship with a Muslim Indian man.,2017-09-21,2017-09-22,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Video Games: The Movie,NA,0,JEANNETTE CATSOULIS,A Long and Winding History of Gaming,"In “Video Games: The Movie,” dozens of celebrities and game developers, among others, explore the history and impact of video games on society.",2014-07-17,2014-07-18,2017-11-02 4:18,23043,Documentary,Jeremy Snead,Jeremy Snead,Sean Astin,0
Vikingdom,NA,0,MIRIAM BALE,Swimming With White Horses Away From the Battlefield,“Vikingdom” could best be described as a cross between a violent video game and a black light fantasy poster.,2013-10-03,2013-10-04,2017-11-02 4:18,NA,Action,Yusry Abd Halim,James Coyne,Dominic Purcell,0
Vincent N Roxxy,R,0,KEN JAWOROWSKI,"Review: In ‘Vincent N Roxxy,’ Love Is in the Air, N So Is Fear","This combination crime drama and romance finds Emile Hirsch and Zoë Kravitz circling each other, and trying to stay away from bad guys.",2017-06-01,2017-06-02,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Vincent Wants to Sea,Not Rated,0,PAUL BRUNICK,A Mission to See,Clinical disorders are just unredeemed tickets to self-realization in “Vincent Wants to Sea.”,2011-06-26,2011-06-24,2017-11-02 4:18,NA,Drama,Ralf Huettner,Florian David Fitz (screenplay),Florian David Fitz,0
Violet Tendencies,NA,0,MIKE HALE,"Gal Takes Straighter Path, Hoping to Have It All",Casper Andreas’s “Violet Tendencies” is an ugly-duckling fairy tale about a woman with lots of gay friends who decides she needs her own relationship with a man.,2010-11-04,2010-04-24,2017-11-02 4:18,5264,Comedy,Casper Andreas,Jesse Archer (screenplay),Mindy Cohn,0
Virus of Fear,NA,0,ANDY WEBSTER,"Review: ‘Virus of Fear,’ a Kiss Touches Off Child Abuse Accusations","A swimming instructor is accused of inappropriately touching a child, and battle lines are drawn among his colleagues and parents.",2016-02-25,2016-02-26,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Vito Bonafacci,NA,0,DANIEL M. GOLD,A Day in the Life of a Prodigal Son,"In “Vito Bonafacci,” a lapsed Roman Catholic explores religion.",2011-05-05,2011-05-06,2017-11-02 4:18,5282,Drama,John Martoccia,John Martoccia,Paul Borghese,0
Voyage of Time,G,0,A. O. SCOTT,"Review: ‘Voyage of Time,’ the Cosmology of Terrence Malick (the Short Version)","Brad Pitt narrates a 45-minute Imax version of Mr. Malick’s documentary, a tour of astrophysics, biology, philosophy and religion. A feature-length cut will be released later to conventional theaters.",2016-10-06,2016-10-07,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Voyeur,NA,0,JEANNETTE CATSOULIS,Review: The Strange Tale of the ‘Voyeur’ and the Journalist,This squirmy documentary follows the celebrated journalist Gay Talese’s infamous investigation of a motel owner who spied on guests.,2017-11-30,2017-12-01,2017-12-08 17:44,NA,NA,NA,NA,NA,0
Wa-Shoku,NA,0,ANDY WEBSTER,"Review: ‘Wa-shoku,’ a Documentary, Recounts How Japanese Dishes Took Hold in the U.S.","Through interviews with chefs and others, the documentary &#8220;Wa-shoku: Beyond Sushi&#8221; explores the growing popularity of Japanese cuisine in American cities.",2015-04-23,2015-04-10,2017-11-02 4:18,NA,Documentary,Junichi Suzuki,"Junichi Suzuki (story), Junichi Suzuki",Tyson Cole,0
Wait for Your Laugh,NA,0,JASON ZINOMAN,"Review: In ‘Wait for Your Laugh’ and ‘Gilbert,’ Comedians Work Hard","These documentaries go behind the scenes with their well-known subjects, Rose Marie and Gilbert Gottfried.",2017-11-02,2017-11-01,2017-12-01 17:44,NA,NA,NA,NA,NA,0
Waiting for Forever,PG-13,0,STEPHEN HOLDEN,Undying Love in the Time of Arrested Development,"James Keach’s new movie, “Waiting for Forever,” is a meditation on childhood extended beyond natural boundaries.",2011-02-03,2011-02-04,2017-11-02 4:18,16291,Comedy,James Keach,Steve Adams,Rachel Bilson,0
Waiting For Lightning,PG-13,0,JON CARAMANICA,Daredevil Skateboarder and Marketer’s Dream,"“Waiting for Lightning” is a documentary about the daredevil skateboarder Danny Way, famous for jumping over the Great Wall of China.",2012-12-06,2012-12-07,2017-11-02 4:18,19537,Documentary,Jacob Rosenberg,Bret Anthony Johnston (contributing writer),Danny Way,0
Wakefield,R,0,A.O. SCOTT,Review: Bryan Cranston Is a Dad in Suburban Exile in ‘Wakefield’,A man indulges a fantasy to escape his routine by camping out in a storage room above his garage and observing his own absence.,2017-05-17,2017-05-19,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Walk Away Renée,NA,0,NICOLAS RAPOLD,A Road Trip With Mom Goes Awry,"In “Walk Away Renee,” a son makes a documentary about his journey with his schizophrenic mother and her missing medications.",2012-11-29,2012-11-30,2017-11-02 4:18,NA,Documentary,Jonathan Caouette,NA,Kathy Biehl,0
Walking Out,PG-13,0,KEN JAWOROWSKI,"Review: In ‘Walking Out,’ Two Men Go Hunting; Who Knows Who’ll Come Back","The film follows a father and son who trek into the Montana wilderness, only to encounter danger.",2017-10-05,2017-10-06,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Walking the Camino: Six Ways to Santiago,NA,0,DANIEL M. GOLD,A Journey for the Soles and the Soul,“Walking the Camino: Six Ways to Santiago” documents travelers who make the trek to the Cathedral of Santiago de Compostela in Spain.,2014-06-05,2013-02-27,2017-11-02 4:18,NA,Documentary,Lydia Smith,NA,NA,0
Walking With Dinosaurs 3D,PG,0,NEIL GENZLINGER,"Like Simba, Only He’s a Plucky Pachyrhinosaurus","In the family-friendly film “Walking With Dinosaurs,” computer-generated creatures face conflicts echoing the “Lion King” story.",2013-12-19,2013-12-20,2017-11-02 4:18,23446920,Animation,"Barry Cook, Neil Nightingale","John Collee (screenplay by), Gerry Swallow (dialogue contributor), David Skelly (additional story)",Charlie Rowe,0
Walking with the Enemy,PG-13,0,BEN KENIGSBERG,"In a Scary Uniform, Subverting a March to Death",“Walking With the Enemy” is based on the real-life story of a Hungarian Jew who saved lives during World War II by posing as a Nazi officer.,2014-04-24,2014-04-15,2017-11-02 4:18,357000,Action,Mark Schmidt,"Kenny Golde (screenplay), Richard Lasser (additional screenplay material), Jack Snyder (additional material)",Vitalie Bichir,0
Wall Street 2: Money Never Sleeps,PG-13,0,A. O. SCOTT,The Pride That Went Before the Fall,"In Oliver Stone’s film, Gordon Gekko returns as a villain who is more charismatic than the good guys.",2010-09-23,2010-09-24,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Walter: Lessons from the World's Oldest People,NA,0,MIRIAM BALE,Advice From Elders Rivets a Couple on the Path to Marriage,"In “Walter: Lessons From the World’s Oldest People,” Hunter Weeks and Sarah Hall ask about keys to longevity.",2013-10-03,2013-10-04,2017-11-02 4:18,NA,Documentary,Hunter Weeks,Hunter Weeks,NA,0
Wanderlust,R,0,MANOHLA DARGIS,Good Vibrations for All; Clothing Is Optional,"David Wain’s “Wanderlust” offers a commune with the comforts of hippie days to Jennifer Aniston and Paul Rudd, on the run from economic ruin.",2012-02-23,2012-02-24,2017-11-02 4:18,17255675,Comedy,David Wain,"David Wain, Ken Marino",Paul Rudd,0
War Machine,NA,0,A.O. SCOTT,Review: ‘War Machine’: Brad Pitt Has Met the Enemy. He Just Doesn’t Know It Yet.,Gen. Stanley A. McChrystal is the commander alluded to in David Michôd’s satirical portrait of a man in over his head and enthralled by his own hype.,2017-05-25,2017-05-26,2017-11-02 4:18,NA,NA,NA,NA,NA,0
War Story,NA,0,JEANNETTE CATSOULIS,"She Has Seen Too Much, and It Shows",“War Story” centers on an overseas American photographer with a damaged psyche.,2014-07-29,2014-07-30,2017-11-02 4:18,NA,Drama,Mark Jackson,"Kristin Gore, Mark Jackson",Catherine Keener,0
Warcraft,PG-13,0,MANOHLA DARGIS,"Review: In ‘Warcraft,’ Orcs of a Different Domain, Fighting With Heart","Directed by Duncan Jones, this cinematic extension of the brand that began as a video game features invading orcs, embattled humans and much pummeling.",2016-06-09,2016-06-10,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Warm Bodies,PG-13,0,MANOHLA DARGIS,It’ll Be a Mixed Marriage: Just One of Them Is Alive,"In “Warm Bodies” zombie meets girl. Zombie loses girl. Zombie — well, you know the rest, though here the familiar balance comes with human tartare.",2013-01-31,2013-02-01,2017-11-02 4:18,6.50E+07,Comedy,Jonathan Levine,"Isaac Marion (based on the novel by), Jonathan Levine (screenplay)",Nicholas Hoult,0
Wasteland,NA,0,MIRIAM BALE,"They’ll Follow Their Pal to the Bitter, Senseless End",Rowan Athale’s “Wasteland” takes viewers on a tour of a hopeless youth in the north of England before turning into a crime caper.,2013-07-25,2013-07-26,2017-11-02 4:18,NA,Crime,Rowan Athale,Rowan Athale,Vanessa Kirby,0
Watchers of the Sky,NA,0,NICOLAS RAPOLD,A Mission for Justice in the Face of Genocide,&#8220;Watchers of the Sky&#8221; examines genocide and the work of the human-rights pioneer Raphael Lemkin and others to combat it.,2014-10-16,2015-10-16,2017-11-02 4:18,19081,Documentary,Edet Belzberg,"Samantha Power (inspired by her book ""A Problem from Hell"")",Benjamin Ferencz,0
"Water and Sugar: Carlo Di Palma, the Colours of Life",NA,0,TEO BUGBEE,Review: ‘Water and Sugar’: How Carlo Di Palma Burnished Reality on Film,This documentary celebrates the Italian cinematographer who brought a golden touch to his collaborations with Michelangelo Antonioni and Woody Allen.,2017-07-27,2017-07-28,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Water for Elephants,PG-13,0,STEPHEN HOLDEN,"Love Triangle Sideshow, a Circus’s Main Attraction","Francis Lawrence directs Reese Witherspoon and Robert Pattinson in “Water for Elephants,” a film adaptation of Sara Gruen’s novel about a Depression-era traveling circus.",2011-04-21,2011-04-22,2017-11-02 4:18,58700247,Drama,Francis Lawrence,"Richard LaGravenese (screenplay), Sara Gruen (novel)",Reese Witherspoon,0
We Are the Flesh,Not Rated,0,GLENN KENNY,"Review: Cannibalism, Torture and Apocalypse in ‘We Are the Flesh’",This debut feature by the Mexican writer and director Emiliano Rocha Minter seems to build on the character of Coffin Joe in the 1960s films by José Mojica Marins.,2017-01-19,2017-01-20,2017-11-02 4:18,NA,NA,NA,NA,NA,0
We Are Your Friends,R,0,NICOLE HERRINGTON,"Review: In ‘We Are Your Friends,’ Angelenos Long for Life Beyond the Valley",Zac Efron plays a D.J. under the wing of a dissolute mentor (Wes Bentley) in Max Joseph&#8217;s debut feature.,2015-08-27,2015-08-28,2017-11-02 4:18,NA,Drama,Max Joseph,"Max Joseph (screenplay), Meaghan Oppenheimer (screenplay), Richard Silverman (story)",Zac Efron,0
We Bought a Zoo,PG,0,MANOHLA DARGIS,"A Modern-Day Ark, With Children, Animals and Even Romance",In Cameron Crowe’s “We Bought a Zoo” Matt Damon plays a single father who is raising his two children and trying to revive a zoo.,2011-12-22,2011-12-23,2017-11-02 4:18,72700000,Comedy,Cameron Crowe,"Aline Brosh McKenna (screenplay), Cameron Crowe (screenplay), Benjamin Mee (book)",Matt Damon,0
We Came Home,NA,0,NICOLE HERRINGTON,The Traditional (and Inner) Rhythms of Kabul,"Ariana Delawari mined her Afghan heritage for an album in 2009 and now a film, “We Came Home.”",2013-09-26,2013-09-27,2017-11-02 4:18,NA,Documentary,Ariana Delawari,NA,NA,0
We Go Way Back,NA,0,JEANNETTE CATSOULIS,When Past and Present Collide,"“We Go Way Back,” an early film by the director Lynn Shelton, maps the territory between young dreams and young-adult reality.",2011-04-28,2011-04-29,2017-11-02 4:18,NA,NA,Lynn Shelton,Lynn Shelton,Kate Bayley,0
We the People,NA,0,HELEN T. VERONGOS,"Review: A Grocery Chain, a Family Feud and a Win for Ordinary People","This documentary, bursting with real-life superheroes who drive trucks and bag groceries, recounts the Market Basket uprising.",2016-04-21,2016-04-15,2017-11-02 4:18,NA,Crime,Brent Huff,Brent Huff,James Brolin,0
We'll Never Have Paris,R,0,BEN KENIGSBERG,Not Quite Sure About Happily Ever After ,"In &#8220;We&#8217;ll Never Have Paris,&#8221; a florist on the cusp of proposing to his longtime girlfriend begins to wonder what it would be like to see other women.",2015-01-22,2015-01-22,2017-11-02 4:18,NA,Comedy,"Simon Helberg, Jocelyn Towne",Simon Helberg,Simon Helberg,0
We're the Millers,R,0,A. O. SCOTT,"Sometimes, They’re Sort of Who They Say They Are",Four people pretending to be a family smuggle marijuana from Mexico to Colorado in “We’re the Millers.”,2013-08-06,2013-08-07,2017-11-02 4:18,144900000,Comedy,Rawson Marshall Thurber,"Bob Fisher (screenplay), Steve Faber (screenplay), Sean Anders (screenplay), John Morris (screenplay), Bob Fisher (story), Steve Faber (story)",Jennifer Aniston,0
Wedding Doll,NA,0,ANDY WEBSTER,"Review: In ‘Wedding Doll,’ Search, and Struggle, to Find Independence and Romance",Nitzan Gilady’s fiction feature debut centers on a young woman with a mild mental disability in search of her own way.,2016-04-14,2016-04-15,2017-11-02 4:18,NA,Drama,Nitzan Giladi,Nitzan Giladi,Moran Rosenblatt,0
Wedding Palace,NA,0,NICOLE HERRINGTON,A Nuptial Curse in the Finest Korean-American Tradition,"Wedding Palace,” directed by Christine Yoo, contrasts South Koreans in Seoul with supertraditional Korean-Americans.",2013-09-26,2013-09-27,2017-11-02 4:18,NA,Comedy,Christine Yoo,"Derek Draper (story), Robert Gardner (screenplay), Christine Yoo (screenplay), Christine Yoo (story)",Brian Tee,0
Welcome to Happiness,NA,0,NEIL GENZLINGER,"Review: ‘Welcome to Happiness,’ With Kyle Gallner Seeking Answers","What if we could change our past? The film, written and directed by Oliver Thompson, wonders.",2016-05-19,2016-05-20,2017-11-02 4:18,NA,NA,NA,NA,NA,0
Welcome to Pine Hill,Not Rated,0,A. O. SCOTT,"Finding a Space, and Yourself","“Welcome to Pine Hill” is about the different worlds that exist in a modern city (Brooklyn), and even within a single human being.",2013-02-28,2013-03-01,2017-11-02 4:18,3629,Drama,Keith Miller,"Keith Miller (story), Keith Miller",Shanon Harper,0
Welcome To The Machine,NA,0,NICOLAS RAPOLD,Unpacking the Pandora’s Box of Technology,“Welcome to the Machine” ponders technology’s impact on humans.,2013-01-10,2013-01-11,2017-11-02 4:18,NA,Documentary,Andreas Steinkogler,"Hannes Hoettl, Andreas Steinkogler (story), Andreas Steinkogler",Richard Holmes,0
Wet Woman in the Wind,NA,0,GLENN KENNY,Review: ‘Wet Woman in the Wind’ Is a Queasy Sex Romp,"Let’s make no bones about it: This film, part of a project to reboot a Japanese soft-core genre, is designed to appeal to male prurient interest.",2017-11-16,2017-11-17,2017-11-16 12:04,NA,NA,NA,NA,NA,0
"What Happened, Miss Simone?",Not Rated,0,MANOHLA DARGIS,"Review: &#8216;What Happened, Miss Simone?&#8217; Documents Nina Simone&#8217;s Rise as Singer and Activist","This documentary, directed by Liz Garbus, chronicles the life of Nina Simone, the singer-musician whose social circle and civil rights activism grew along with her fame.",2015-06-23,2015-06-24,2017-11-02 4:18,NA,Documentary,Liz Garbus,NA,Nina Simone,1
What If,PG-13,0,JEANNETTE CATSOULIS,"Friendship Ripens Into ... Well, You Know",“What If” is a romantic comedy in which the small matter of a large live-in boyfriend gets in the way.,2014-08-07,2014-08-15,2017-11-02 4:18,2743895,Comedy,Michael Dowse,"Elan Mastai, T.J. Dawe (play), Michael Rinaldi (play)",Daniel Radcliffe,0
