display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,nomination
5 Star Day,NA,0,NEIL GENZLINGER,A Horoscope That Prompts a Long Journey,“Five Star Day” follows a young man who sets out to disprove the value of horoscopes as a final project for a college course.,2011-11-01,2011-11-04,2017-11-02 4:18,NA,Drama,Danny Buday,Danny Buday (screenplay),Cam Gigandet,0
50/50,R,0,MANOHLA DARGIS,The Healing Powers of a Friendship When Life’s Complications Strike,"In “50/50,” when Joseph Gordon-Levitt’s character receives a diagnosis of cancer, his pal, played by Seth Rogen, is there with support and leavening humor.",2011-09-29,2011-09-30,2017-11-02 4:18,35005118,Comedy,Jonathan Levine,Will Reiser,Joseph Gordon-Levitt,1
6 Days,R,0,BEN KENIGSBERG,Review: A Hostage Standoff Unfolds in ‘6 Days’,Toa Fraser’s film about a hostage crisis at the Iranian Embassy in London in 1980 can feel closer to a re-enactment than a thriller.,2017-08-17,2017-08-18,2017-11-02 4:18,NA,NA,NA,NA,NA,0
7 Minutes,NA,0,STEPHEN HOLDEN,"Review: In &#8216;7 Minutes,&#8217; From Jay Martin, a Bank Robbery Plan Implodes","Three friends decide to commit a crime, greatly underestimating the difficulty.",2015-06-25,2015-06-26,2017-11-02 4:18,NA,Crime,Jay Martin,Jay Martin,Luke Mitchell,0
7 Sins Forgiven,NA,0,RACHEL SALTZ,A Black Widow Tale,"Vishal Bhardwaj’s “7 Khoon Maaf,” a meandering black widow tale, has plenty of art. But it floats around, ungrounded in anything like emotional reality.",2011-02-18,2011-02-18,2017-11-02 4:18,NA,NA,NA,NA,NA,0
90 Minutes in Heaven,PG-13,0,NICOLAS RAPOLD,"Review: &#8216;90 Minutes in Heaven,&#8217; Then a Long Road Back","This movie, based on a best-selling memoir, dwells on the physical and spiritual recovery of Don Piper, a Texas pastor who was declared dead in a car crash.",2015-09-10,2015-09-11,2017-11-02 4:18,NA,Drama,Michael Polish,"Michael Polish (screenplay by), Don Piper (based on the book by), Cecil Murphey (based on the book by)",Hayden Christensen,0
A Bad Moms Christmas,R,0,JEANNETTE CATSOULIS,Review: Bad Grandmoms Show Up for ‘A Bad Moms Christmas’,"Christine Baranski, Cheryl Hines and Susan Sarandon join the cast for a sequel to “Bad Moms.”",2017-11-02,2017-11-01,2017-12-02 17:44,NA,NA,NA,NA,NA,0
A Ballerina's Tale,NA,0,BRIAN SEIBERT,Review: ‘A Ballerina’s Tale’ Chronicles the Rise of Misty Copeland,Nelson George’s documentary delves into the talent and drive — and the career-threatening injuries — of American Ballet Theater’s first black female principal dancer.,2015-10-13,2015-10-14,2017-11-02 4:18,93891,Documentary,Nelson George,NA,Misty Copeland,0
A Band Called Death,NA,0,NICOLAS RAPOLD,A Protopunk Band With Bonds of Steel,The music documentary “A Band Called Death” catches up with a groundbreaking punk group that emerged in 1970s Detroit.,2013-06-27,2013-06-28,2017-11-02 4:18,125856,Documentary,"Mark Christopher Covino, Jeff Howlett",NA,Dannis Hackney,0
A Beautiful Planet,G,0,KEN JAWOROWSKI,Review: ‘A Beautiful Planet’ Shows a Dazzling Earth From Space,"Images of the planet, and even mundane tasks, take on a fascinating quality in this documentary shot by astronauts aboard the International Space Station.",2016-04-28,2016-04-29,2017-11-02 4:18,7437581,Documentary,Toni Myers,Toni Myers,Jennifer Lawrence,0
