display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,awards
The Lie,R,1,JEANNETTE CATSOULIS,Twentysomething in Need of a Life Coach,"Joshua Leonard wrote, directed and stars in “The Lie,” in which he wonders if it is possible to rewrite lives and remake choices.",2011-11-17,2011-11-11,2017-11-02 4:18,NA,Drama,Joshua Leonard,"T. Coraghessan Boyle (short story), Jeff Feuerzeig (additional material), Joshua Leonard (screenplay), Mark Webber (screenplay), Jess Weixler (screenplay)",Alia Shawkat,N/A
The Light Between Oceans,PG-13,1,STEPHEN HOLDEN,Review: A Baby in a Boat Changes Everything in ‘The Light Between Oceans’,Michael Fassbender and Alicia Vikander play an Australian couple who long for a child — and happen to find one — in this post-World War I romance.,2016-09-01,2016-09-02,2017-11-02 4:18,12533911,Drama,Derek Cianfrance,"Derek Cianfrance (written for the screen by), M.L. Stedman (novel)",Michael Fassbender,1 win & 9 nominations.
The Lips,,1,JEANNETTE CATSOULIS,A Little Lipstick Soothes Poverty’s Rawness,In “The Lips” three social workers in the Argentine countryside help villagers confront hardships.,2011-06-12,2011-06-13,2017-11-02 4:18,NA,Drama,"Iván Fund, Santiago Loza","Iván Fund, Santiago Loza",Eva Bianco,4 wins & 5 nominations.
The Little Prince,PG,1,STEPHEN HOLDEN,Review: Fanciful Classic ‘The Little Prince’ Is Turned Into Modernist Fable,A gray corporate world rendered in computer graphics enfolds the stop-motion universe of Antoine de Saint-Exupéry’s tender tale.,2016-08-04,2016-08-05,2017-11-02 4:18,NA,Animation,Mark Osborne,"Irena Brignull (original screenplay by), Bob Persichetti (original screenplay by), Antoine de Saint-Exupéry (based on ""Le Petit Prince"" by)",Jeff Bridges,5 wins & 12 nominations.
The Lobster,R,1,A. O. SCOTT,"Review: In ‘The Lobster,’ Colin Farrell Plays a Divorced Man in a Loner-Hating Society",Yorgos Lanthimos’s surreal allegory about tyrannical monogamy and its direct counterpart is dosed with bitterness as well as comic whimsy.,2016-05-12,2016-05-13,2017-11-02 4:18,9078073,Comedy,Yorgos Lanthimos,"Yorgos Lanthimos, Efthymis Filippou",Jacqueline Abrahams,Nominated for 1 Oscar. Another 31 wins & 71 nominations.
The Lost City of Z,PG-13,1,MANOHLA DARGIS,Review: Hearts of Darkness and Light in ‘The Lost City of Z’,"Charlie Hunnam stars in this period adventure story about love, loss and mystery in the Amazon from the director James Gray.",2017-04-13,2017-04-14,2017-11-02 4:18,8554554,Adventure,James Gray,"James Gray (written for the screen by), David Grann (based on the book by)",Charlie Hunnam,5 wins & 28 nominations.
The Man Who Saved the World,,1,DANIEL M. GOLD,Review: ‘The Man Who Saved the World’ Recounts a Cold War Near Miss,"This hybrid documentary centers on the life of Lt. Col. Stanislav Petrov, who was in charge of the Soviet early warning systems overnight on Sept. 26, 1983.",2015-09-17,2015-09-18,2017-11-02 4:18,NA,Documentary,Peter Anthony,Peter Anthony,Stanislav Petrov,8 wins & 7 nominations.
The Martian,PG-13,1,MANOHLA DARGIS,"Review: In ‘The Martian,’ Marooned but Not Alone",Matt Damon plays a stranded astronaut scrambling to stay alive and return to Earth in this science-fiction thriller by Ridley Scott.,2015-10-01,2015-10-02,2017-11-02 4:18,202313768,Adventure,Ridley Scott,"Drew Goddard (screenplay by), Andy Weir (based on the novel by)",Matt Damon,Nominated for 7 Oscars. Another 37 wins & 185 nominations.
The Master,R,1,A. O. SCOTT,There Will Be Megalomania,"Philip Seymour Hoffman and Joaquin Phoenix star in Paul Thomas Anderson’s imposing, confounding and altogether amazing new film.",2012-09-13,2012-09-21,2017-11-02 4:18,15800000,Drama,Paul Thomas Anderson,Paul Thomas Anderson,Joaquin Phoenix,Nominated for 3 Oscars. Another 76 wins & 179 nominations.
The Meddler,PG-13,1,MANOHLA DARGIS,"Review: In ‘The Meddler,’ a Yakkety Mom Comes of (a Certain) Age","As a mother and daughter, Susan Sarandon and Rose Byrne portray a mother-daughter relationship that grows up.",2016-04-21,2016-04-22,2017-11-02 4:18,NA,Comedy,Lorene Scafaria,Lorene Scafaria,Susan Sarandon,2 nominations.
The Meyerowitz Stories (New and Selected),,1,GLENN KENNY,Review: Adam Sandler Is a Revelation in ‘The Meyerowitz Stories’,"A career high, and not just for this film’s writer and director, Noah Baumbach.",2017-10-11,2017-10-13,2017-11-11 17:44,NA,Comedy,Noah Baumbach,Noah Baumbach,Adam Sandler,4 wins & 6 nominations.
The Mighty Macs,G,1,NEIL GENZLINGER,"Blazing a Feminist, and Hall of Fame, Trail","“The Mighty Macs” recounts how Cathy Rush turned the 1972 women’s basketball team at tiny Immaculata College into national champions, fighting stereotypes along the way.",2011-10-20,2011-10-21,2017-11-02 4:18,1889522,Drama,Tim Chambers,"Tim Chambers (screenplay), Tim Chambers (story), Anthony Gargano (story)",Carla Gugino,N/A
The Missing Picture,,1,MANOHLA DARGIS,"Returning, in His Own Way, to the Killing Fields","In “The Missing Picture,” the director Rithy Panh uses figurines and the usual documentary devices to relay his personal story regarding Cambodia’s killing fields.",2014-03-18,2014-03-19,2017-11-02 4:18,31087,Documentary,Rithy Panh,"Rithy Panh, Christophe Bataille (commentary)",Randal Douc,Nominated for 1 Oscar. Another 11 wins & 13 nominations.
The Muppets,PG,1,STEPHEN HOLDEN,Getting the Gang Together Again,"In “The Muppets,” the same adorable fuzzy folks are back in theaters, as sweetly innocent and likable as ever.",2011-11-22,2011-11-23,2017-11-02 4:18,88625922,Adventure,James Bobin,"Jason Segel, Nicholas Stoller, Jim Henson (based on)",Jason Segel,Won 1 Oscar. Another 16 wins & 43 nominations.
The New Girlfriend,R,1,STEPHEN HOLDEN,"Review: In ‘The New Girlfriend,’ a Widower’s Secret Life Is Revealed","The director François Ozon offers a serio-comic exploration of cross-dressing, gender fluidity and desire in his adaptation of a dark story by Ruth Rendell.",2015-09-17,2015-09-18,2017-11-02 4:18,281394,Drama,François Ozon,"Ruth Rendell (novel), François Ozon (screenplay)",Romain Duris,1 win & 7 nominations.
The Peanuts Movie,G,1,NEIL GENZLINGER,Review: ‘The Peanuts Movie’ Curses the Red Baron in 3 Dimensions,The question with this revival of a franchise revered by nostalgic baby boomers is whether it will resonate with today’s 7-year-olds.,2015-11-05,2015-11-06,2017-11-02 4:18,106132048,Animation,Steve Martino,"Craig Schulz (screenplay by), Bryan Schulz (screenplay by), Cornelius Uliano (screenplay by), Charles M. Schulz (based upon the comic strip by)",Trombone Shorty,Nominated for 1 Golden Globe. Another 1 win & 45 nominations.
The Pirates! Band of Misfits,PG,1,MANOHLA DARGIS,Swashbumblers Roiling Madcap Seas,This stop-motion animation film from Aardman Animations about a band of hapless high-seas troublemakers is a curiosity cabinet of visual pleasures.,2012-04-26,2012-04-27,2017-11-02 4:18,31051126,Animation,"Peter Lord, Jeff Newitt(co-director)","Gideon Defoe (book), Gideon Defoe (screenplay)",Hugh Grant,Nominated for 1 Oscar. Another 19 nominations.
The Playroom,Not Rated,1,STEPHEN HOLDEN,"Suburban Perfection, With Warts",“The Playroom” is a drama about a seemingly ideal family in the 1970s that has several cracks below the surface.,2013-02-07,2013-02-08,2017-11-02 4:18,3900,Drama,Julia Dyer,Gretchen Dyer,Ian Veteto,1 nomination.
The Price We Pay,,1,ANDY WEBSTER,Review: ‘The Price We Pay’ Maps a Web of Offshore Tax Havens,Harold Crooks’s documentary shows how the global financial system abets the growing concentration of wealth within a narrow minority.,2015-10-29,2015-10-30,2017-11-02 4:18,NA,Documentary,Harold Crooks,"Brigitte Alepin, Harold Crooks",N/A,1 win & 2 nominations.
The Prison in Twelve Landscapes,,1,JEANNETTE CATSOULIS,Review: ‘The Prison in Twelve Landscapes’ Reveals the Invisible Tentacles of Mass Incarceration,An unexpectedly moving look at the elements of the confinement industry that hide in plain sight.,2016-11-03,2016-11-04,2017-11-02 4:18,NA,Documentary,Brett Story,Brett Story,N/A,4 wins & 1 nomination.
The Rape of Recy Taylor,,1,JEANNETTE CATSOULIS,Review: ‘The Rape of Recy Taylor’ Takes a Deep Dive Into Systemic Injustice,Nancy Buirski’s film is one of multiple layers and marvelous gumption.,2017-12-14,2017-12-15,2017-12-22 17:44,NA,Documentary,Nancy Buirski,Nancy Buirski,Tommy Bernardi,1 win & 5 nominations.
The Road,R,1,JEANNETTE CATSOULIS,Crawling Backward in Time Into Haunted Real Estate,"“The Road” conjures a hushed, supernatural universe covering two decades after three joy-riding teenagers disappear at night.",2012-05-10,2012-05-11,2017-11-02 4:18,8025059,Adventure,John Hillcoat,"Joe Penhall (screenplay by), Cormac McCarthy (based on the book by)",Viggo Mortensen,Nominated for 1 BAFTA Film Award. Another 5 wins & 31 nominations.
The Salesman,PG-13,1,A.O. SCOTT,"Review: In ‘The Salesman,’ Scenes From a Marriage in Tehran","The ghost of Willy Loman hovers over this film from Asghar Farhadi, but it seems occupied with its own dramatic issues, our critic writes.",2017-01-26,2017-01-27,2017-11-02 4:18,11067,Drama,Asghar Farhadi,Asghar Farhadi,Shahab Hosseini,Won 1 Oscar. Another 9 wins & 19 nominations.
The Seasons in Quincy: Four Portraits of John Berger,,1,GLENN KENNY,Review: ‘The Seasons in Quincy: Four Portraits of John Berger’ Lauds a Renaissance Man,"These four film shorts, each by a different director, evoke aspects of a brilliant art historian and essayist living in the French Alps.",2016-08-30,2016-08-31,2017-11-02 4:18,NA,Documentary,"Bartek Dziadosz, Colin MacCabe, Christopher Roth, Tilda Swinton","Ben Lerner, Tilda Swinton",John Berger,N/A
The Secret World of Arrietty,G,1,MANOHLA DARGIS,"In Realm of the Tiny, Standing Up to the Big","“The Secret World of Arrietty,” an animated children’s film from Studio Ghibli, has the small making wonderfully do in a world inhabited by, and made for, the big.",2012-02-16,2012-02-17,2017-11-02 4:18,19192510,Animation,Hiromasa Yonebayashi,"Mary Norton (novel), Hayao Miyazaki (screenplay), Keiko Niwa (screenplay)",Moises Arias,11 wins & 6 nominations.
The Sessions,R,1,STEPHEN HOLDEN,Therapy at Its Most Touching,"“The Sessions” is a touching, profoundly sex-positive film that equates sex with intimacy.",2012-10-18,2012-11-16,2017-11-02 4:18,5997134,Biography,Ben Lewin,"Ben Lewin (written for the screen by), Mark O'Brien (article)",John Hawkes,Nominated for 1 Oscar. Another 18 wins & 63 nominations.
The Shaft,,1,JEANNETTE CATSOULIS,Mining Frail Aspirations in Rural China,"The first feature from the young Chinese director Zhang Chi, “The Shaft” (“Dixia de Tiankong”) feels as though it were made by a very old soul.",2010-01-20,2010-01-22,2017-11-02 4:18,NA,Action,Dick Maas,Dick Maas,James Marshall,N/A
The Sleeping Beauty,Not Rated,1,MANOHLA DARGIS,No Sleep for a Beauty Who Seeks Adventure,"In Catherine Breillat’s “Sleeping Beauty” the princess doesn’t fall into a 100-year slumber, she hits the road for some adventure.",2011-07-07,2011-07-08,2017-11-02 4:18,28791,Drama,Catherine Breillat,"Hans Christian Andersen (story ""The Snow Queen""), Catherine Breillat (screenplay), Charles Perrault (story)",Carla Besnaïnou,1 win & 1 nomination.
The Social Network,PG-13,1,MANOHLA DARGIS,"Millions of Friends, but Not Very Popular","David Fincher’s film is less of a biopic of the Facebook co-founder than a gloss on the boot-up, log-on, plug-in generation.",2010-09-23,2010-10-01,2017-11-02 4:18,96400000,Biography,David Fincher,"Aaron Sorkin (screenplay), Ben Mezrich (book)",Jesse Eisenberg,Won 3 Oscars. Another 165 wins & 168 nominations.
The Son of Joseph,,1,BEN KENIGSBERG,Review: ‘The Son of Joseph’ Fancifully Repackages the Nativity,"Eugène Green’s new movie is divided into five sections, each titled after a biblical episode.",2017-01-12,2017-01-13,2017-11-02 4:18,28753,Drama,Eugène Green,Eugène Green (screenplay),Victor Ezenfis,3 wins & 1 nomination.
The Standbys,,1,NEIL GENZLINGER,Waiting With Bittersweet Anxiety for Their Moment,The director Stephanie Riggs follows the tribulations of three actors who are on call to step in for a star in a stage show.,2014-02-20,2014-02-21,2017-11-02 4:18,NA,Documentary,Stephanie Riggs,N/A,Rebecca Baxter,N/A
The Stanford Prison Experiment,R,1,NEIL GENZLINGER,Review: ‘The Stanford Prison Experiment’ Revisits the Psychology of Power and Abuse,The film is about the notorious 1971 psychological study in which students were recruited to play either guards or inmates in a make-believe prison.,2015-07-16,2015-07-17,2017-11-02 4:18,NA,Biography,Kyle Patrick Alvarez,"Tim Talbott, Philip Zimbardo (based on the book ""The Lucifer Effect"")",Billy Crudup,4 wins & 3 nominations.
The Take,R,1,NEIL GENZLINGER,Review: A Pickpocket Is Recruited by the C.I.A. in ‘The Take’,"Idris Elba and Richard Madden star in this well-executed variation of the buddy-cop formula, set in Paris.",2016-11-17,2016-11-18,2017-11-02 4:18,41546,Action,James Watkins,"Andrew Baldwin, James Watkins",Idris Elba,N/A
The Thoughts That Once We Had,,1,JEANNETTE CATSOULIS,"Review: ‘The Thoughts That Once We Had,’ a Cinematic Flight",A montage of film clips that takes us on a wild ride through cinematic history.,2016-06-02,2016-06-03,2017-11-02 4:18,NA,Documentary,Thom Andersen,Gilles Deleuze (inspired by the works of),N/A,N/A
The Three Stooges,PG,1,MANOHLA DARGIS,"Wry and Subtle Jesting? Not Here, Knucklehead","“The Three Stooges” is Peter and Bobby Farrelly’s paean to Moe, Larry and Curly and the art of the eye poke.",2012-04-12,2012-04-13,2017-11-02 4:18,41800000,Comedy,"Bobby Farrelly, Peter Farrelly","Mike Cerrone, Bobby Farrelly, Peter Farrelly",Sean Hayes,4 nominations.
The To Do List,R,1,NEIL GENZLINGER,Some Things You Can’t Learn From a Book,"In “The To Do List,” Aubrey Plaza plays a smart and driven high school graduate who decides that she has been missing something and sets out to lose her virginity.",2013-07-25,2013-07-26,2017-11-02 4:18,3400000,Comedy,Maggie Carey,Maggie Carey,Aubrey Plaza,N/A
The Treasure,,1,A. O. SCOTT,"Review: In ‘The Treasure,’ Digging for Something of Value in Romania","Corneliu Porumboiu, this film’s director, waits for dramatic events to arise instead of forcing the action.",2016-01-07,2016-01-08,2017-11-02 4:18,NA,Comedy,Corneliu Porumboiu,Corneliu Porumboiu,Toma Cuzin,5 wins & 13 nominations.
The Trust,R,1,NEIL GENZLINGER,Review: Cops in ‘The Trust’ Spice Up Deadly Dull Jobs,"Nicolas Cage and Elijah Wood play police-department partners who deal with boredom, social invisibility and pent-up rage by planning a heist.",2016-05-12,2016-05-13,2017-11-02 4:18,NA,Crime,"Alex Brewer, Benjamin Brewer","Benjamin Brewer, Adam Hirsch",Nicolas Cage,N/A
The Unknown Girl,,1,A.O. SCOTT,Review: The Hard Road of Decency in ‘The Unknown Girl’,A young doctor struggles with her conscience in this latest film from the Dardenne brothers.,2017-09-07,2017-08-25,2017-11-02 4:18,142332,Crime,"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne (screenplay), Luc Dardenne (screenplay)",Adèle Haenel,1 win & 5 nominations.
The Wailing,,1,GLENN KENNY,"Review: ‘The Wailing’ Will Scare You, and Break Your Heart",Na Hong-jin’s movie about demonic possession is an expansive and often excruciating horror film from South Korea.,2016-06-02,2016-06-03,2017-11-02 4:18,785405,Horror,Hong-jin Na,Hong-jin Na,Do-won Kwak,29 wins & 51 nominations.
The Walk,PG,1,A. O. SCOTT,Review: ‘The Walk’ Captures High-Wire Bravado at World Trade Center,Robert Zemeckis restages the tightrope journey that Philippe Petit (Joseph Gordon-Levitt) took between the twin towers in 1974.,2015-09-26,2015-10-09,2017-11-02 4:18,8064239,Adventure,Robert Zemeckis,"Robert Zemeckis (screenplay), Christopher Browne (screenplay), Philippe Petit (book)",Joseph Gordon-Levitt,3 wins & 17 nominations.
The Wedding Plan,PG,1,BEN KENIGSBERG,"Review: She’s Got ‘The Wedding Plan,’ With a Groom TBD","Rama Burshtein received acclaim for her debut feature, “Fill the Void.” Now she’s back with another biting, multilayered romantic comedy.",2017-05-11,2017-05-12,2017-11-02 4:18,NA,Comedy,Rama Burshtein,Rama Burshtein,Noa Koler,4 wins & 8 nominations.
The Wise Kids,Not Rated,1,STEPHEN HOLDEN,Teenagers Perplexed About Faith and Sexuality,"“The Wise Kids” is an exploration of the growing pains of Christian teenagers in a Baptist church in Charleston, S.C., who confront uncertainties about their sexuality and faith.",2012-03-15,2012-03-16,2017-11-02 4:18,NA,Drama,Stephen Cone,Stephen Cone,Molly Kunz,N/A
The Witch,R,1,MANOHLA DARGIS,"Review: In ‘The Witch,’ a Family’s Contract With God Is Tested","Around 1630 in New England, a family leaves a plantation to settle down alone at the edge of a forest.",2016-02-18,2016-02-19,2017-11-02 4:18,19239494,Horror,Robert Eggers,Robert Eggers,Anya Taylor-Joy,41 wins & 64 nominations.
The Wolf of Wall Street,R,1,A. O. SCOTT,When Greed Was Good (and Fun),"Martin Scorsese’s “The Wolf of Wall Street” is three hours full of sex, drugs and conspicuous consumption, but what does it say about us?",2013-12-24,2013-12-25,2017-11-02 4:18,91330760,Biography,Martin Scorsese,"Terence Winter (screenplay), Jordan Belfort (book)",Leonardo DiCaprio,Nominated for 5 Oscars. Another 38 wins & 165 nominations.
The Woman Who Left,,1,A.O. SCOTT,"Review: ‘The Woman Who Left’ Is an Epic, Intimate Tale of Injustice","From the modern Philippines, Lav Diaz’s haunting and pessimistic take on a Tolstoy story.",2017-05-18,2017-05-19,2017-11-02 4:18,NA,Drama,Lav Diaz,"Lav Diaz (screenplay), Leo Tolstoy (inspired by his short story ""God Sees the Truth,  But Waits"")",Charo Santos-Concio,3 wins & 24 nominations.
The Women's Balcony,,1,NICOLE HERRINGTON,Review: Religion Tests Gender Politics in ‘The Women’s Balcony’,"The power and resourcefulness of women are on display in this small-scale comedy, which manages to speak to a broader political movement.",2017-05-25,2017-05-26,2017-11-02 4:18,1187629,Comedy,Emil Ben-Shimon,Shlomit Nehama,Evelin Hagoel,5 nominations.
The Woodmans,Not Rated,1,STEPHEN HOLDEN,Self-Portrait of the Artist as a Suicide,This documentary focuses on the artistic family of a young photographer who committed suicide.,2011-01-18,2011-01-18,2017-11-02 4:18,38330,Documentary,Scott Willis,N/A,Francesca Woodman,2 wins & 2 nominations.
The Yellow Sea,R,1,MANOHLA DARGIS,"The Blood Runs Freely, but the Dogs Can’t",The South Korean film “The Yellow Sea” is a morality tale full of shocking images and rousing chase scenes.,2011-12-01,2011-12-02,2017-11-02 4:18,NA,Action,Hong-jin Na,"Won-Chan Hong, Hong-jin Na (screenplay)",Jung-woo Ha,5 wins & 17 nominations.
The Yes Men Are Revolting,Not Rated,1,STEPHEN HOLDEN,"Review: In &#8216;The Yes Men Are Revolting,&#8217; Prankster Activists Take On Climate Change",The third documentary follows this comic duo through some personal struggles as they train their sights on global warming.,2015-06-11,2015-06-12,2017-11-02 4:18,NA,Documentary,"Andy Bichlbaum, Mike Bonanno, Laura Nix","Laura Nix, Andy Bichlbaum, Mike Bonanno",Mike Bonanno,1 nomination.
Theeb,,1,STEPHEN HOLDEN,"Review: In ‘Theeb,’ a Bedouin Boy’s Brutal Coming-of-Age","Naji Abu Nowar’s drama, set in 1916, follows a young orphan, alone and unarmed in the Arabic equivalent of the Wild West.",2015-11-05,2015-11-06,2017-11-02 4:18,128430,Adventure,Naji Abu Nowar,"Naji Abu Nowar, Bassel Ghandour",Jacir Eid Al-Hwietat,Nominated for 1 Oscar. Another 10 wins & 14 nominations.
Theo Who Lived,,1,GLENN KENNY,"Review: In ‘Theo Who Lived,’ a Journalist Tells of His Capture by Al Qaeda",A documentary follows Theo Padnos as he recreates his kidnapping and detainment by anti-American forces in Syria.,2016-10-06,2016-09-30,2017-11-02 4:18,11271,Documentary,David Schisgall,David Schisgall,Theo Padnos,1 win.
These Birds Walk,,1,NICOLAS RAPOLD,Making a Home for Pakistani Runaways,"The documentary “These Birds Walk” chronicles a humanitarian’s efforts to help street children in Karachi, Pakistan.",2013-10-31,2013-11-01,2017-11-02 4:18,NA,Documentary,"Omar Mullick, Bassam Tariq",N/A,Shehr Ali,5 wins & 2 nominations.
They Call it Myanmar: Lifting the Curtain,,1,ANDY WEBSTER,On a Turbulent Journey to Modern Myanmar,"“They Call It Myanmar” explores the turbulent trajectory of this nation: its history, politics, culture and future.",2012-09-20,2012-02-27,2017-11-02 4:18,NA,Documentary,Robert H. Lieberman,David Kossack (story),Aung San Suu Kyi,N/A
This Is Not A Film,Not Rated,1,By A.&#160;O. SCOTT,"A Video From Tehran: It’s Not What It Isn’t, but What It Is","Jafar Panahi, one of the leading Iranian filmmakers who has been banned from making movies, sits before a camera in “This Is Not a Film.”",2012-02-28,2012-02-29,2017-11-02 4:18,63144,Documentary,"Mojtaba Mirtahmasb, Jafar Panahi",Jafar Panahi,Jafar Panahi,9 wins & 14 nominations.
Thunder Soul,PG,1,JEANNETTE CATSOULIS,"From a School Band, Soul and Funk, and Heart",“Thunder Soul” features a Houston high-school music director who turned his school’s band into a celebrated funk institution.,2011-09-22,2011-09-23,2017-11-02 4:18,110870,Documentary,Mark Landsman,N/A,Craig Baldwin,3 wins & 5 nominations.
Thy Father's Chair,,1,GLENN KENNY,Review: Two Hoarders Clean House in ‘Thy Father’s Chair’,The mess that two Brooklyn brothers make of their house in this documentary is unholy in several senses of the term.,2017-10-12,2017-10-13,2017-11-02 4:18,NA,Documentary,"Àlex Lora, Antonio Tibaldi",N/A,N/A,1 win & 5 nominations.
Tibet in Song,Not Rated,1,NEIL GENZLINGER,A Fight to Preserve Tibetan Music,“Tibet in Song” tells of an exile struggling with the Chinese to preserve the traditional music of his people.,2010-09-23,2010-09-24,2017-11-02 4:18,NA,Documentary,Ngawang Choephel,Ngawang Choephel,N/A,2 wins & 2 nominations.
Tickled,R,1,MANOHLA DARGIS,Review: ‘Tickled’ Is Fun and Giggles Until It Isn’t Anymore,Two filmmakers had barely begun their reporting for this documentary when threats from the private world of tickling began.,2016-06-16,2016-06-17,2017-11-02 4:18,612816,Documentary,"David Farrier, Dylan Reeve",N/A,David Farrier,16 nominations.
Time to Choose,,1,STEPHEN HOLDEN,Review: ‘Time to Choose’ Extols Renewable Energy to Combat Global Warming,Charles Ferguson’s documentary is a sobering polemic about climate change that balances predictions of planetary doom with a survey of innovations in energy technology.,2016-06-02,2016-06-03,2017-11-02 4:18,29233,Documentary,Charles Ferguson,"Chad Beck, Charles Ferguson",Peter Agnefjall,N/A
TiMER,R,1,NEIL GENZLINGER,A Sci-Fi Love Story,“Timer” explores the choices that come when you know when you’ll meet your soul mate.,2010-05-13,2010-05-14,2017-11-02 4:18,NA,Comedy,Jac Schaeffer,Jac Schaeffer,Emma Caulfield Ford,1 win & 1 nomination.
Toe to Toe,,1,A. O. SCOTT,"On a High School Lacrosse Team, Opposites Attract and Attack","The film’s observations about race, class and friendship are clear and accessible without being overly didactic.",2010-02-25,2010-02-26,2017-11-02 4:18,NA,Drama,Emily Abt,Emily Abt,Sonequa Martin-Green,2 nominations.
Tom at the Farm,Not Rated,1,STEPHEN HOLDEN,"Review: In &#8216;Tom at the Farm,&#8217; Psychosexual Games Down at the Farm",Xavier Dolan directs and stars in this film about a bereaved lover who discovers that his boyfriend&#8217;s family had no idea that he had a gay companion.,2015-08-13,2015-08-14,2017-11-02 4:18,NA,Drama,Xavier Dolan,"Xavier Dolan (screenplay), Michel Marc Bouchard (screenplay), Xavier Dolan (dialogue), Michel Marc Bouchard (dialogue), Michel Marc Bouchard (play)",Xavier Dolan,8 wins & 26 nominations.
Tomorrow,,1,NICOLE HERRINGTON,Review: Worried About a Sustainable Tomorrow? There’s Hope,The fast-faced documentary “Tomorrow” profiles men and women with concrete solutions for moving away from fossil fuels and protecting the environment.,2017-04-19,2017-04-14,2017-11-02 4:18,NA,Documentary,"Cyril Dion, Mélanie Laurent",Cyril Dion,Anthony Barnosky,1 win & 1 nomination.
Toni Erdmann,R,1,A.O. SCOTT,"Review: In ‘Toni Erdmann,’ Dad’s a Prankster Trying to Jolt His Conformist Daughter","The funniest almost-three-hour German comedy you will ever see, Maren Ade’s film is a thrilling act of defiance against the toxicity of doing what is expected.",2016-12-22,2016-12-25,2017-11-02 4:18,1478960,Comedy,Maren Ade,Maren Ade (screenplay),Sandra Hüller,Nominated for 1 Oscar. Another 50 wins & 73 nominations.
Too Late,,1,KEN JAWOROWSKI,"Review: In ‘Too Late,’ Imitation Is Sincere Flattery","Noir pays tribute to noir, with respect, in this film by Dennis Hauck, starring John Hawkes as a private investigator determined to avenge a murder.",2016-03-31,2016-04-01,2017-11-02 4:18,NA,Drama,Dennis Hauck,Dennis Hauck,Dichen Lachman,1 win & 3 nominations.
Top Five,R,1,MANOHLA DARGIS,One Man&#8217;s Crisis of the Soul (It&#8217;s a Comedy) ,"In &#8220;Top Five,&#8221; Chris Rock and a rich lineup of fellow comedians tell the story of an actor who wrestles with his identity as he tries his hand at a serious film.",2014-12-11,2014-12-12,2017-11-02 4:18,17002433,Comedy,Chris Rock,Chris Rock,Chris Rock,7 wins & 19 nominations.
Toy Story 3,G,1,A. O. SCOTT,Voyage to the Bottom of the Day Care Center,"Woody, Buzz Lightyear and the cast from the first two “Toy Story” installments are joined by a new set of playthings.",2010-06-17,2010-06-18,2017-11-02 4:18,414984497,Animation,Lee Unkrich,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay by)",Tom Hanks,Won 2 Oscars. Another 58 wins & 91 nominations.
Train to Busan,,1,JEANNETTE CATSOULIS,Review: All Aboard ‘Train to Busan’ for Zombie and Class Warfare,"Yeon Sang-ho’s film, set on a South Korean bullet train, pits passengers against the spastic undead.",2016-07-21,2016-07-22,2017-11-02 4:18,2129768,Action,Sang-ho Yeon,"Joo-Suk Park, Sang-ho Yeon (screenplay)",Yoo Gong,30 wins & 36 nominations.
Trainwreck,R,1,MANOHLA DARGIS,Review: &#8216;Trainwreck&#8217; Delivers the Full Amy Schumer Experience,"The movie, directed by Judd Apatow from Ms. Schumer&#8217;s script, is a romantic comedy packed with pop-cultural references and edged with social critique.",2015-07-16,2015-07-17,2017-11-02 4:18,NA,Comedy,Judd Apatow,Amy Schumer,Colin Quinn,Nominated for 2 Golden Globes. Another 5 wins & 25 nominations.
Trophy,,1,JEANNETTE CATSOULIS,"Review: For the Wild Things in ‘Trophy,’ Life Has a Price",This thoughtful documentary raises tough questions about big-game hunting and wildlife conservation.,2017-09-07,2017-09-08,2017-11-02 4:18,19744,Documentary,"Christina Clusiau, Shaul Schwarz",N/A,Philip Glass,1 win & 6 nominations.
Troublemakers: The Story of Land Art,,1,GLENN KENNY,"Review: ‘Troublemakers: The Story of Land Art,’ a Documentary","James Crump’s film looks at artists who, in the early 1960s, headed into the open spaces of North America to mold the land.",2016-01-07,2016-01-08,2017-11-02 4:18,NA,Documentary,James Crump,James Crump,Vito Acconci,N/A
True Adolescents,Not Rated,1,STEPHEN HOLDEN,Great Outdoors Beckons as a Test of Manhood,"Mark Duplass stars in Craig Johnson’s film “True Adolescents,” which explores the sexual discomfort of boys and men not entirely secure in their masculinity.",2011-07-28,2011-07-29,2017-11-02 4:18,NA,Comedy,Craig Johnson,Craig Johnson,Mark Duplass,1 nomination.
True Grit,PG-13,1,MANOHLA DARGIS,"Wearing Braids, Seeking Revenge",The Coen brothers’ remake of “True Grit” brings Rooster Cogburn and his brutish world back to a tougher Mattie Ross.,2010-12-21,2010-12-22,2017-11-02 4:18,171031347,Adventure,"Ethan Coen, Joel Coen","Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)",Jeff Bridges,Nominated for 10 Oscars. Another 37 wins & 153 nominations.
