display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,awards
Haider,,1,RACHEL SALTZ,Shakespearean Revenge in a Violent Kashmir,"A mother&#8217;s loyalties and mystery carries the movie &#8220;Haider,&#8221; a version of &#8220;Hamlet.&#8221;",2014-10-02,2014-10-02,2017-11-02 4:18,NA,Action,Vishal Bhardwaj,"William Shakespeare (based on the play ""Hamlet"" by), Basharat Peer (screenplay), Vishal Bhardwaj (screenplay), Vishal Bhardwaj (dialogue)",Tabu,14 wins & 32 nominations.
Hanna Ranch,Not Rated,1,ANDY WEBSTER,"On the Range, With a Conscience","Kirk Hanna, the focus of the documentary “Hanna Ranch,” appeared in “Fast Food Nation.”",2014-05-15,2014-05-16,2017-11-02 4:18,NA,Documentary,Mitch Dickman,N/A,N/A,N/A
Happy End,R,1,GLENN KENNY,"Review: In ‘Happy End,’ Another Unhappy Family From Michael Haneke","Isabelle Huppert, Toby Jones and Mathieu Kassovitz make up a remarkable ensemble cast. But “Happy End” belongs to Jean-Louis Trintignant.",2017-12-21,2017-12-22,2018-01-21 17:44,83292,Drama,Michael Haneke,Michael Haneke,Isabelle Huppert,5 nominations.
Harmonium,Not Rated,1,JEANNETTE CATSOULIS,"Review: In ‘Harmonium,’ a Family Lets the Wrong One In",A mysterious man becomes a disruptive presence for a married couple and their daughter in Koji Fukada’s well-acted family drama.,2017-06-15,2017-06-16,2017-11-02 4:18,NA,Drama,Kôji Fukada,Kôji Fukada,Tadanobu Asano,4 wins & 6 nominations.
Harold and Lillian: A Hollywood Love Story,,1,MONICA CASTILLO,Review: ‘Harold and Lillian’ Introduces a Hollywood Power Couple,"Meet the husband-and-wife team that inspired some of the most memorable moments onscreen, from “The Graduate” to “The Birds.”",2017-04-27,2017-04-28,2017-11-02 4:18,NA,Documentary,Daniel Raim,Daniel Raim,Lillian Michelson,1 nomination.
Harry & Snowman,,1,HELEN T. VERONGOS,Review: ‘Harry & Snowman’ Recalls a Man and a Horse of Powerful Haunches,"Ron Davis’s documentary is about Snowman, a white gelding and championship show jumper in his time, and Harry deLeyer, who raised him.",2016-09-29,2016-09-30,2017-11-02 4:18,559045,Documentary,Ron Davis,Ron Davis,Harry DeLeyer,9 wins.
Harry Potter and the Deathly Hallows: Part 1,PG-13,1,A. O. SCOTT,Time for Young Wizards to Put Away Childish Things,"There is an especially somber and scary coloration to this installment, as Harry Potter faces a perilous grown-up world.",2010-11-18,2010-11-19,2017-11-02 4:18,294980434,Adventure,David Yates,"Steve Kloves (screenplay), J.K. Rowling (novel)",Bill Nighy,Nominated for 2 Oscars. Another 15 wins & 53 nominations.
Harry Potter and the Deathly Hallows: Part 2,PG-13,1,MANOHLA DARGIS,Class Dismissed,"Childhood ends with tears and howls and swirls of smoke, the shock of mortality and bittersweet smiles in the grave, deeply satisfying final movie in the “Harry Potter” series.",2011-07-13,2011-07-15,2017-11-02 4:18,381000185,Adventure,David Yates,"Steve Kloves (screenplay), J.K. Rowling (novel)",Ralph Fiennes,Nominated for 3 Oscars. Another 45 wins & 91 nominations.
He Never Died,R,1,NEIL GENZLINGER,"Review: In ‘He Never Died,’ Mastering Longevity if Not Social Skills","Henry Rollins plays Jack, who has spent centuries perfecting the art of being nondescript, in this enjoyably strange horror film.",2015-12-17,2015-12-18,2017-11-02 4:18,NA,Comedy,Jason Krawczyk,Jason Krawczyk,Henry Rollins,3 nominations.
Heaven Knows What,R,1,NICOLAS RAPOLD,Review: &#8216;Heaven Knows What&#8217; Dramatizes a Young Junkie&#8217;s Life,"Directed by Josh and Benny Safdie, &#8220;Heaven Knows What&#8221; chronicles an addict and her pursuits on the streets of New York.",2015-05-28,2015-05-29,2017-11-02 4:18,80013,Drama,"Benny Safdie, Josh Safdie","Arielle Holmes (inspired by a book written by), Josh Safdie, Ronald Bronstein",Arielle Holmes,5 wins & 12 nominations.
Heist: Who Stole the American Dream?,,1,STEPHEN HOLDEN,Tracing the Great Recession to a Memo 40 Years Ago,The documentary “Heist: Who Stole the American Dream?” argues that the seeds of the recent financial collapse were sown 40 years ago in a memo.,2012-03-01,2012-03-02,2017-11-02 4:18,NA,Documentary,"Frances Causey, Donald Goldmacher","Frances Causey, Hollis Rich",Elizabeth Warren,1 win.
Hell or High Water,R,1,JEANNETTE CATSOULIS,Review: A Waltz Across Texas in ‘Hell or High Water’,Brothers on a bank-robbing spree make their way through a desert of economic decline in this film by David Mackenzie.,2016-08-11,2016-08-12,2017-11-02 4:18,26973524,Action,David Mackenzie,Taylor Sheridan,Dale Dickey,Nominated for 4 Oscars. Another 42 wins & 157 nominations.
Her,R,1,MANOHLA DARGIS,"Disembodied, but, Oh, What a Voice","“Her,” directed by Spike Jonze, centers on a lonely soul who is drawn out by the female voice of his computer operating system.",2013-12-17,2014-01-10,2017-11-02 4:18,17901029,Drama,Spike Jonze,Spike Jonze,Joaquin Phoenix,Won 1 Oscar. Another 82 wins & 181 nominations.
Hereafter,PG-13,1,A. O. SCOTT,The Dead Have Messages for the Land of the Living,A new film from Clint Eastwood contemplates whether the end of life is really the end.,2010-10-14,2010-10-22,2017-11-02 4:18,32741596,Drama,Clint Eastwood,Peter Morgan,Cécile de France,Nominated for 1 Oscar. Another 4 wins & 13 nominations.
Hide Your Smiling Faces,Not Rated,1,STEPHEN HOLDEN,A Boyhood Summer of Darkness,Daniel Patrick Carbone’s haunting debut feature offers a dark vision of boyhood adventure in a great outdoors fraught with peril.,2014-03-27,2014-03-28,2017-11-02 4:18,NA,Drama,Daniel Patrick Carbone,Daniel Patrick Carbone (screenplay),Ryan Jones,8 wins & 6 nominations.
Higher Ground,R,1,A. O. SCOTT,Navigating Between Faith and Skepticism,"Vera Farmiga stars in this film, her directorial debut, a drama that weighs the merits of faith against a secular sensibility.",2011-08-25,2011-08-26,2017-11-02 4:18,841056,Drama,Vera Farmiga,"Carolyn S. Briggs (screenplay), Tim Metcalfe (screenplay), Carolyn S. Briggs (memoir ""This Dark World"")",Joshua Leonard,1 win & 7 nominations.
Hitchcock/Truffaut,PG-13,1,JEANNETTE CATSOULIS,Review: ‘Hitchcock/Truffaut’ Revisits the Master of Suspense,"This documentary revisits a 1962 conversation between the two directors in a documentary format, with commentary from film luminaries.",2015-12-01,2015-12-04,2017-11-02 4:18,304899,Documentary,Kent Jones,"Kent Jones, Serge Toubiana",Mathieu Amalric,1 win & 1 nomination.
Hoje Eu Quero Voltar Sozinho,Not Rated,1,ANDY WEBSTER,Matters of the (Young) Heart,A young man who happens to be blind begins to indulge his independence and understand his sexuality in &#8220;The Way He Looks.&#8221;,2014-11-06,2014-11-07,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
Homeland: Iraq Year Zero,,1,GLENN KENNY,Review: ‘Homeland: Iraq Year Zero’ Chronicles a War-Torn Family,This two-part film from Abbas Fahdel gives a before-and-after account of his relatives’ lives around the time of the 2003 conflict.,2016-10-04,2016-10-06,2017-11-02 4:18,NA,Documentary,Abbas Fahdel,Abbas Fahdel,N/A,12 wins & 3 nominations.
Homo Sapiens,,1,GLENN KENNY,Review: Empty Spaces Show the Imprint of Humanity in ‘Homo Sapiens’,Images of abandoned places built or scarred by humankind make up what could be described as an environmental documentary.,2016-07-28,2016-07-29,2017-11-02 4:18,NA,Documentary,Nikolaus Geyrhalter,Nikolaus Geyrhalter (concept),N/A,2 nominations.
Hot Tub Time Machine,R,1,A. O. SCOTT,"Times May Change, but Regret Endures","In “Hot Tub Time Machine,” three guys revisit the ’80s. Nostalgia naturally ensues.",2010-03-25,2010-03-26,2017-11-02 4:18,48925682,Comedy,Steve Pink,"Josh Heald (screenplay), Sean Anders (screenplay), John Morris (screenplay), Josh Heald (story)",John Cusack,5 nominations.
How I Ended This Summer,,1,STEPHEN HOLDEN,Standoff in a Frigid Circle of Hell,"“How I Ended This Summer,” set at an Arctic weather station, is a suspenseful man-braving-the-elements adventure and a psychological thriller.",2011-01-27,2011-01-28,2017-11-02 4:18,NA,Drama,Aleksey Popogrebskiy,Aleksey Popogrebskiy,Grigoriy Dobrygin,16 wins & 20 nominations.
Hugo,PG,1,MANOHLA DARGIS,"Inventing a World, Just Like Clockwork",Martin Scorsese’s 3-D film adaptation of the children’s novel “The Invention of Hugo Cabret” is also a homage to early cinema.,2011-11-22,2011-11-23,2017-11-02 4:18,73820094,Adventure,Martin Scorsese,"John Logan (screenplay by), Brian Selznick (based on the book entitled ""The Invention of Hugo Cabret"" by)",Ben Kingsley,Won 5 Oscars. Another 57 wins & 186 nominations.
Hunt for the Wilderpeople,PG-13,1,MANOHLA DARGIS,"Review: In ‘Hunt for the Wilderpeople,’ Lighting Out for the Bush",Taika Waititi’s comedy centers on a foster child in New Zealand first placed with an older couple and then on the run.,2016-06-23,2016-06-24,2017-11-02 4:18,5202582,Adventure,Taika Waititi,"Taika Waititi (screenplay), Barry Crump (based on the book ""Wild Pork and Watercress"" written by), Te Arepa Kahi (additional writing)",Sam Neill,20 wins & 25 nominations.
Hunter Gatherer,,1,JEANNETTE CATSOULIS,Review: ‘Hunter Gatherer’ Profiles Two Men Living on the Margins,"Running in place is the point of Josh Locy’s film, which spotlights the repetitive daily struggles of those with few resources beyond optimism and resolve.",2016-11-15,2016-11-16,2017-11-02 4:18,NA,Drama,Josh Locy,Josh Locy,Andre Royo,3 wins & 4 nominations.
I Am Eleven,,1,NEIL GENZLINGER,"Now 11 Is the New 14, and the New 8","In Genevieve Bailey’s documentary “I Am Eleven,” 11-year-olds in 15 countries talk about home, school, war, love, marriage and visions of the future.",2014-09-11,2014-09-12,2017-11-02 4:18,69394,Documentary,Genevieve Bailey,N/A,Billy,3 wins.
I Am Love,R,1,MANOHLA DARGIS,"From Tapestried Villa to Sylvan Glade, Aristocratic Women in Love",In this soaringly beautiful Italian film nothing holds your gaze as forcefully as Tilda Swinton’s alabaster face.,2010-06-17,2010-07-23,2017-11-02 4:18,5004648,Drama,Luca Guadagnino,"Barbara Alberti (screenplay), Ivan Cotroneo (screenplay), Walter Fasano (screenplay), Luca Guadagnino (screenplay), Luca Guadagnino (story)",Tilda Swinton,Nominated for 1 Oscar. Another 16 wins & 40 nominations.
I Am Not Your Negro,PG-13,1,A.O. SCOTT,Review: ‘I Am Not Your Negro’ Will Make You Rethink Race,Raoul Peck’s documentary is an important introduction to James Baldwin’s work and an advanced seminar in racial politics.,2017-02-02,2017-02-03,2017-11-02 4:18,7120626,Documentary,Raoul Peck,"James Baldwin (writings), Raoul Peck (scenario)",Samuel L. Jackson,Nominated for 1 Oscar. Another 25 wins & 45 nominations.
I Love You Phillip Morris,R,1,STEPHEN HOLDEN,A Winning Smile Makes the Scamming a Breeze,"“I Love You Phillip Morris,” based on a real-life story, stars Jim Carrey as a charismatic con man.",2010-12-02,2011-01-07,2017-11-02 4:18,2026852,Biography,"Glenn Ficarra, John Requa","John Requa, Glenn Ficarra, Steve McVicker (book)",Jim Carrey,6 wins & 11 nominations.
